file_path,file_name,category,exists,size_bytes,last_modified,detected_topic,mentions_mcar_point,mentions_node_temporal_block,mentions_causal_history,mentions_full_intersection,mentions_fedavg_prediction,contains_final_results,notes
MISSINGNESS_OPTIMIZATION_PLAN.md,MISSINGNESS_OPTIMIZATION_PLAN.md,result_or_project_note,True,10708,2026-06-12T22:12:47,实验设计,True,True,True,True,True,True,风险关键词: 双向插值
MISSINGNESS_PHASE_RUNBOOK.md,MISSINGNESS_PHASE_RUNBOOK.md,result_or_project_note,True,2115,2026-06-13T18:56:28,实验结果,False,True,True,True,False,False,
PROJECT_DOCUMENTATION.md,PROJECT_DOCUMENTATION.md,result_or_project_note,True,29484,2026-06-04T15:15:02,实验设计,False,False,False,False,True,False,"风险关键词: FedAvg RMSE, 显著优于"
PROJECT_PROGRESS_ANALYSIS.md,PROJECT_PROGRESS_ANALYSIS.md,result_or_project_note,True,13206,2026-06-12T21:15:11,实验设计,False,False,True,True,True,False,风险关键词: 预测鲁棒性
README.md,README.md,result_or_project_note,True,5304,2026-06-05T00:12:58,实验结果,False,False,False,False,True,False,
docs/date_type_curve_method_comparison.md,date_type_curve_method_comparison.md,paper_or_doc,True,9468,2026-05-27T16:50:57,实验结果,False,False,False,False,False,False,
docs/environment_setup.md,environment_setup.md,paper_or_doc,True,7860,2026-06-02T17:27:07,实验结果,False,False,False,False,False,False,
docs/function_cluster_visualization.md,function_cluster_visualization.md,paper_or_doc,True,6534,2026-05-27T12:06:02,实验结果,False,False,False,False,False,False,
docs/greenshields_speed_density_scheme.md,greenshields_speed_density_scheme.md,paper_or_doc,True,12110,2026-05-31T21:36:38,实验设计,False,False,False,False,False,False,
docs/node_flow_daily_curve_fit.md,node_flow_daily_curve_fit.md,paper_or_doc,True,7361,2026-05-27T16:50:46,实验设计,False,False,False,False,False,False,
docs/node_intersection_flow_inspection.md,node_intersection_flow_inspection.md,paper_or_doc,True,5585,2026-05-27T14:12:23,实验结果,False,False,False,False,False,False,
docs/project_documentation.md,project_documentation.md,paper_or_doc,True,12513,2026-06-02T17:24:20,实验结果,False,False,False,False,True,False,
docs/project_pipeline.md,project_pipeline.md,paper_or_doc,True,11166,2026-06-02T17:25:38,实验结果,False,False,False,False,True,False,
docs/simulation_experiment_effect_report.md,simulation_experiment_effect_report.md,paper_or_doc,True,29068,2026-06-05T19:20:21,实验设计,False,False,False,False,True,False,风险关键词: 显著优于
docs/simulation_experiments.md,simulation_experiments.md,paper_or_doc,True,9797,2026-06-05T00:12:57,实验结果,False,False,False,False,True,False,
paper_revision/00_NATURE_SKILLS_PRECHECK.md,00_NATURE_SKILLS_PRECHECK.md,paper_or_doc,True,15267,2026-06-06T18:20:21,实验设计,False,False,False,False,True,False,
paper_revision/01_prerequisite_constraints.md,01_prerequisite_constraints.md,paper_or_doc,True,4038,2026-06-06T18:21:17,实验设计,False,False,False,False,True,False,
paper_revision/02_revision_strategy.md,02_revision_strategy.md,paper_or_doc,True,5647,2026-06-06T10:36:19,实验结果,False,False,False,False,True,False,
