file_path,file_name,parent_result_dir,row_count,column_count,columns,table_role,contains_missingness_summary,contains_imputation_metrics,notes
results/real_data_missingness_experiments/summaries/imputation_quality_mean_std_table.csv,imputation_quality_mean_std_table.csv,results/real_data_missingness_experiments,15,10,"[""mechanism"", ""impute_method"", ""missing_rate"", ""mae_mean"", ""mae_std"", ""rmse_mean"", ""rmse_std"", ""mape_mean"", ""mape_std"", ""rows""]",other,False,True,
results/real_data_missingness_experiments/summaries/imputation_quality_summary.csv,imputation_quality_summary.csv,results/real_data_missingness_experiments,750,16,"[""file_name"", ""file_path"", ""rows_used"", ""mechanism"", ""missing_rate"", ""seed"", ""impute_method"", ""target_col"", ""time_col"", ""node_col"", ""masked_count"", ""actual_missing_rate"", ""imputation_mae"", ""imputation_rmse"", ""imputation_mape"", ""output_path""]",summary,False,True,
results/real_data_missingness_experiments/summaries/missingness_actual_rate_table.csv,missingness_actual_rate_table.csv,results/real_data_missingness_experiments,5,5,"[""mechanism"", ""missing_rate"", ""actual_missing_rate_mean"", ""actual_missing_rate_std"", ""rows""]",other,True,False,
results/real_data_missingness_experiments/summaries/missingness_design_summary.csv,missingness_design_summary.csv,results/real_data_missingness_experiments,250,10,"[""file_name"", ""file_path"", ""rows_used"", ""mechanism"", ""missing_rate"", ""seed"", ""target_col"", ""time_col"", ""node_col"", ""mask_path""]",summary,True,False,
results/real_data_missingness_experiments/summaries/missingness_mask_summary.csv,missingness_mask_summary.csv,results/real_data_missingness_experiments,250,14,"[""file_name"", ""file_path"", ""rows_used"", ""mechanism"", ""missing_rate"", ""seed"", ""target_col"", ""time_col"", ""node_col"", ""requested_missing_count"", ""actual_missing_count"", ""actual_missing_rate"", ""mask_path"", ""corrupted_path""]",summary,True,False,
results/real_data_missingness_experiments_sample/summaries/imputation_quality_summary.csv,imputation_quality_summary.csv,results/real_data_missingness_experiments_sample,18,16,"[""file_name"", ""file_path"", ""rows_used"", ""mechanism"", ""missing_rate"", ""seed"", ""impute_method"", ""target_col"", ""time_col"", ""node_col"", ""masked_count"", ""actual_missing_rate"", ""imputation_mae"", ""imputation_rmse"", ""imputation_mape"", ""output_path""]",summary,False,True,
results/real_data_missingness_experiments_sample/summaries/missingness_design_summary.csv,missingness_design_summary.csv,results/real_data_missingness_experiments_sample,3,10,"[""file_name"", ""file_path"", ""rows_used"", ""mechanism"", ""missing_rate"", ""seed"", ""target_col"", ""time_col"", ""node_col"", ""mask_path""]",summary,True,False,
results/real_data_missingness_experiments_sample/summaries/missingness_mask_summary.csv,missingness_mask_summary.csv,results/real_data_missingness_experiments_sample,3,14,"[""file_name"", ""file_path"", ""rows_used"", ""mechanism"", ""missing_rate"", ""seed"", ""target_col"", ""time_col"", ""node_col"", ""requested_missing_count"", ""actual_missing_count"", ""actual_missing_rate"", ""mask_path"", ""corrupted_path""]",summary,True,False,
results/real_data_missingness_full_intersection_causal_history/historical_test/manifests/chunk_index_summary.csv,chunk_index_summary.csv,results/real_data_missingness_full_intersection_causal_history/historical_test,8,9,"[""day_index"", ""file_name"", ""file_path"", ""rows_used"", ""node_count"", ""time_slot_count"", ""time_slot_min"", ""time_slot_max"", ""warmup""]",manifest,False,False,
results/real_data_missingness_full_intersection_causal_history/historical_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_000_detail.csv,node_flow_chunk_000_detail.csv,results/real_data_missingness_full_intersection_causal_history/historical_test,4,14,"[""missing_rate"", ""mechanism"", ""seed"", ""impute_method"", ""day_index"", ""file_name"", ""is_warmup"", ""flow_group"", ""count"", ""sum_abs_error"", ""sum_squared_error"", ""sum_pct_error"", ""count_pct"", ""sum_smape""]",manifest,False,False,
results/real_data_missingness_full_intersection_causal_history/historical_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_001_detail.csv,node_flow_chunk_001_detail.csv,results/real_data_missingness_full_intersection_causal_history/historical_test,4,14,"[""missing_rate"", ""mechanism"", ""seed"", ""impute_method"", ""day_index"", ""file_name"", ""is_warmup"", ""flow_group"", ""count"", ""sum_abs_error"", ""sum_squared_error"", ""sum_pct_error"", ""count_pct"", ""sum_smape""]",manifest,False,False,
results/real_data_missingness_full_intersection_causal_history/historical_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_002_detail.csv,node_flow_chunk_002_detail.csv,results/real_data_missingness_full_intersection_causal_history/historical_test,4,14,"[""missing_rate"", ""mechanism"", ""seed"", ""impute_method"", ""day_index"", ""file_name"", ""is_warmup"", ""flow_group"", ""count"", ""sum_abs_error"", ""sum_squared_error"", ""sum_pct_error"", ""count_pct"", ""sum_smape""]",manifest,False,False,
