path,rel_path,file_type,category,size_bytes,modified_time,row_count,column_count,columns,time_column,sensor_or_node_columns,traffic_columns,header_present,schema_hint,schema_source,readable,read_error
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M0_original_fourier\cluster_centers.parquet,data/analysis/date_type_curve_method_comparison/M0_original_fourier/cluster_centers.parquet,.parquet,analysis,7216,2026-06-07T02:04:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M0_original_fourier\cluster_centers_plot.parquet,data/analysis/date_type_curve_method_comparison/M0_original_fourier/cluster_centers_plot.parquet,.parquet,analysis,7431,2026-06-07T02:04:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M0_original_fourier\cluster_label_mapping.parquet,data/analysis/date_type_curve_method_comparison/M0_original_fourier/cluster_label_mapping.parquet,.parquet,analysis,936,2026-06-07T02:04:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M0_original_fourier\cluster_labels.parquet,data/analysis/date_type_curve_method_comparison/M0_original_fourier/cluster_labels.parquet,.parquet,analysis,2046485,2026-06-07T02:04:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M0_original_fourier\cluster_metrics.parquet,data/analysis/date_type_curve_method_comparison/M0_original_fourier/cluster_metrics.parquet,.parquet,analysis,6979,2026-06-07T02:04:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M0_original_fourier\cluster_summary.parquet,data/analysis/date_type_curve_method_comparison/M0_original_fourier/cluster_summary.parquet,.parquet,analysis,3792,2026-06-07T02:04:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M0_original_fourier\curve_coefficients.parquet,data/analysis/date_type_curve_method_comparison/M0_original_fourier/curve_coefficients.parquet,.parquet,analysis,7100990,2026-06-07T02:04:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M0_original_fourier\daily_profiles.parquet,data/analysis/date_type_curve_method_comparison/M0_original_fourier/daily_profiles.parquet,.parquet,analysis,26656843,2026-06-07T02:04:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M0_original_fourier\daily_profiles_plot.parquet,data/analysis/date_type_curve_method_comparison/M0_original_fourier/daily_profiles_plot.parquet,.parquet,analysis,26656843,2026-06-07T02:04:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M0_original_fourier\fitted_curves.parquet,data/analysis/date_type_curve_method_comparison/M0_original_fourier/fitted_curves.parquet,.parquet,analysis,91176294,2026-06-07T02:04:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M0_original_fourier\fitted_curves_plot.parquet,data/analysis/date_type_curve_method_comparison/M0_original_fourier/fitted_curves_plot.parquet,.parquet,analysis,92092113,2026-06-07T02:04:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M1_three_date_type_curves\cluster_centers.parquet,data/analysis/date_type_curve_method_comparison/M1_three_date_type_curves/cluster_centers.parquet,.parquet,analysis,7271,2026-06-07T02:08:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M1_three_date_type_curves\cluster_centers_plot.parquet,data/analysis/date_type_curve_method_comparison/M1_three_date_type_curves/cluster_centers_plot.parquet,.parquet,analysis,7486,2026-06-07T02:08:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M1_three_date_type_curves\cluster_label_mapping.parquet,data/analysis/date_type_curve_method_comparison/M1_three_date_type_curves/cluster_label_mapping.parquet,.parquet,analysis,936,2026-06-07T02:08:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M1_three_date_type_curves\cluster_labels.parquet,data/analysis/date_type_curve_method_comparison/M1_three_date_type_curves/cluster_labels.parquet,.parquet,analysis,2097234,2026-06-07T02:08:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M1_three_date_type_curves\cluster_metrics.parquet,data/analysis/date_type_curve_method_comparison/M1_three_date_type_curves/cluster_metrics.parquet,.parquet,analysis,7030,2026-06-07T02:08:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M1_three_date_type_curves\cluster_summary.parquet,data/analysis/date_type_curve_method_comparison/M1_three_date_type_curves/cluster_summary.parquet,.parquet,analysis,3847,2026-06-07T02:08:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M1_three_date_type_curves\curve_coefficients.parquet,data/analysis/date_type_curve_method_comparison/M1_three_date_type_curves/curve_coefficients.parquet,.parquet,analysis,7174243,2026-06-07T02:08:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M1_three_date_type_curves\daily_profiles.parquet,data/analysis/date_type_curve_method_comparison/M1_three_date_type_curves/daily_profiles.parquet,.parquet,analysis,28655194,2026-06-07T02:08:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M1_three_date_type_curves\daily_profiles_plot.parquet,data/analysis/date_type_curve_method_comparison/M1_three_date_type_curves/daily_profiles_plot.parquet,.parquet,analysis,28655194,2026-06-07T02:08:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M1_three_date_type_curves\fitted_curves.parquet,data/analysis/date_type_curve_method_comparison/M1_three_date_type_curves/fitted_curves.parquet,.parquet,analysis,93174997,2026-06-07T02:08:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M1_three_date_type_curves\fitted_curves_plot.parquet,data/analysis/date_type_curve_method_comparison/M1_three_date_type_curves/fitted_curves_plot.parquet,.parquet,analysis,94071383,2026-06-07T02:08:50,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M2_shape_normalized_weighted_curve\cluster_centers.parquet,data/analysis/date_type_curve_method_comparison/M2_shape_normalized_weighted_curve/cluster_centers.parquet,.parquet,analysis,7352,2026-06-07T02:10:39,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
E:\Jupter_Notebook\FedTrafficFlow\data\analysis\date_type_curve_method_comparison\M2_shape_normalized_weighted_curve\cluster_centers_plot.parquet,data/analysis/date_type_curve_method_comparison/M2_shape_normalized_weighted_curve/cluster_centers_plot.parquet,.parquet,analysis,7568,2026-06-07T02:10:39,,,[],,[],[],,,,False,"ImportError: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
