scenario,time_slot_within_day,missing_count,missing_ratio_within_scenario
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,0,127222,0.010337640290713731
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,1,126978,0.010317813655140213
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,2,127325,0.010346009731140257
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,3,127512,0.010361204734633077
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,4,127762,0.010381518910425616
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,5,127797,0.010384362895036572
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,6,128063,0.010405977178079834
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,7,127772,0.010382331477457318
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,8,127895,0.010392326051947247
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,9,127786,0.0103834690713017
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,10,127951,0.010396876427324777
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,11,128217,0.010418490710368038
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,12,128221,0.010418815737180719
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,13,128319,0.010426778894091394
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,14,127980,0.01039923287171671
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,15,128146,0.010412721484442958
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,16,128239,0.010420278357837782
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,17,128223,0.010418978250587059
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,18,128219,0.01041865322377438
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,19,128210,0.010417921913445847
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,20,128014,0.010401995599624497
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,21,128133,0.010411665147301746
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,22,128423,0.01043522959122109
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,23,128513,0.010442542694506405
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,24,128634,0.010452374755589994
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,25,128826,0.010467976042598665
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,26,128885,0.010472770188085703
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,27,128877,0.010472120134460342
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,28,129024,0.010484064869826355
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,29,128587,0.010448555690540996
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,30,128117,0.010410365040051023
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,31,128416,0.0104346607942989
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,32,128436,0.010436285928362304
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,33,128435,0.010436204671659132
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,34,128348,0.010429135338483329
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,35,128235,0.0104199533310251
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,36,128064,0.010406058434783004
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,37,128324,0.010427185177607245
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,38,128650,0.010453674862840717
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,39,128646,0.010453349836028036
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,40,128490,0.01044067379033349
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,41,128369,0.010430841729249902
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,42,128762,0.010462775613595774
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,43,128574,0.010447499353399784
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,44,128600,0.01044961202768221
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,45,128743,0.010461231736235541
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,46,128656,0.010454162403059738
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,47,128563,0.010446605529664912
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,48,128609,0.01045034333801074
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,49,128176,0.010415159185538063
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,50,128021,0.010402564396546687
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,51,128075,0.010406952258517876
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,52,128238,0.010420197101134612
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,53,128251,0.010421253438275824
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,54,128218,0.01041857196707121
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,55,128327,0.010427428947716757
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,56,128159,0.01041377782158417
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,57,128217,0.010418490710368038
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,58,128336,0.010428160258045287
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,59,128309,0.010425966327059694
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,60,128186,0.010415971752569763
