mechanism,missing_rate_target,event_id,node_subset_ratio,selected_node_count,start_global_time_index,end_global_time_index,actual_length,length_group,length_mode,seed,node_list_file,chunk_index,day_index,file_name
node_subset_temporal_outage,0.05,0,0.01,420,57,77,21,long,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_000\event_000000_nodes.csv,0,0,node_flow_chunk_000.parquet
node_subset_temporal_outage,0.05,1,0.02,841,17,39,23,long,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_000\event_000001_nodes.csv,0,0,node_flow_chunk_000.parquet
node_subset_temporal_outage,0.05,2,0.01,420,81,90,10,mid,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_000\event_000002_nodes.csv,0,0,node_flow_chunk_000.parquet
node_subset_temporal_outage,0.05,3,0.02,841,42,43,2,short,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_000\event_000003_nodes.csv,0,0,node_flow_chunk_000.parquet
node_subset_temporal_outage,0.05,4,0.005,210,45,65,21,long,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_000\event_000004_nodes.csv,0,0,node_flow_chunk_000.parquet
node_subset_temporal_outage,0.05,5,0.02,841,3,9,7,mid,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_000\event_000005_nodes.csv,0,0,node_flow_chunk_000.parquet
node_subset_temporal_outage,0.05,6,0.005,210,86,94,9,mid,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_000\event_000006_nodes.csv,0,0,node_flow_chunk_000.parquet
node_subset_temporal_outage,0.05,7,0.005,210,31,34,4,short,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_000\event_000007_nodes.csv,0,0,node_flow_chunk_000.parquet
node_subset_temporal_outage,0.05,8,0.02,841,1,1,1,short,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_000\event_000008_nodes.csv,0,0,node_flow_chunk_000.parquet
node_subset_temporal_outage,0.05,9,0.02,841,12,13,2,short,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_000\event_000009_nodes.csv,0,0,node_flow_chunk_000.parquet
node_subset_temporal_outage,0.05,10,0.005,210,57,66,10,mid,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_000\event_000010_nodes.csv,0,0,node_flow_chunk_000.parquet
node_subset_temporal_outage,0.05,11,0.005,210,46,51,6,mid,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_000\event_000011_nodes.csv,0,0,node_flow_chunk_000.parquet
node_subset_temporal_outage,0.05,12,0.005,210,128,138,11,mid,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000012_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,13,0.01,420,103,104,2,short,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000013_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,14,0.02,841,145,148,4,short,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000014_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,15,0.02,841,159,159,1,short,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000015_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,16,0.005,210,140,140,1,short,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000016_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,17,0.01,420,155,156,2,short,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000017_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,18,0.005,210,114,124,11,mid,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000018_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,19,0.01,420,164,185,22,long,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000019_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,20,0.005,210,131,131,1,short,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000020_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,21,0.005,210,189,191,3,short,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000021_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,22,0.01,420,111,121,11,mid,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000022_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,23,0.005,210,168,184,17,long,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000023_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,24,0.005,210,127,131,5,mid,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000024_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,25,0.01,420,108,108,1,short,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000025_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,26,0.005,210,162,166,5,mid,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000026_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,27,0.01,420,110,119,10,mid,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000027_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,28,0.01,420,100,100,1,short,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000028_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,29,0.005,210,171,182,12,mid,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000029_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,30,0.005,210,135,138,4,short,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000030_nodes.csv,1,1,node_flow_chunk_001.parquet
node_subset_temporal_outage,0.05,31,0.005,210,128,132,5,mid,mixed_short_mid_long,42,outage_node_lists\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42\node_flow_chunk_001\event_000031_nodes.csv,1,1,node_flow_chunk_001.parquet
