missing_rate,method,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.05,forward_fill,0,0,node_flow_chunk_000.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_000.parquet,187774,2076,True,True,completed,recomputed,0.579741799999999,57721255,2026-06-15T16:21:39.035894871+00:00
0.05,forward_fill,1,1,node_flow_chunk_001.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_001.parquet,199679,0,True,True,completed,recomputed,0.622427400000003,57617968,2026-06-15T16:21:45.444596529+00:00
0.05,forward_fill,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_002.parquet,203212,0,True,True,completed,recomputed,0.5895899,57508331,2026-06-15T16:21:52.085707903+00:00
0.05,forward_fill,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_003.parquet,200778,0,True,True,completed,recomputed,0.7149107999999984,57495492,2026-06-15T16:21:58.763388395+00:00
0.05,forward_fill,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_004.parquet,200099,0,True,True,completed,recomputed,0.6008345999999989,57525129,2026-06-15T16:22:05.264611005+00:00
0.05,forward_fill,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_005.parquet,201671,0,True,True,completed,recomputed,0.600873699999994,57576790,2026-06-15T16:22:11.638112783+00:00
0.05,forward_fill,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_006.parquet,203530,0,True,True,completed,recomputed,0.6056041999999948,57597476,2026-06-15T16:22:18.115091801+00:00
0.05,forward_fill,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_007.parquet,202976,0,True,True,completed,recomputed,0.644826700000003,57622001,2026-06-15T16:22:24.720816374+00:00
0.05,forward_fill,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_008.parquet,202091,0,True,True,completed,recomputed,0.6254171,57513405,2026-06-15T16:22:31.430122375+00:00
0.05,forward_fill,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_009.parquet,202548,0,True,True,completed,recomputed,0.6484536999999904,57519775,2026-06-15T16:22:38.272128582+00:00
0.05,forward_fill,10,10,node_flow_chunk_010.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_010.parquet,202755,0,True,True,completed,recomputed,0.8133614000000051,57566084,2026-06-15T16:22:45.361938477+00:00
0.05,forward_fill,11,11,node_flow_chunk_011.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_011.parquet,203328,0,True,True,completed,recomputed,0.716297499999996,57518063,2026-06-15T16:22:52.403055906+00:00
0.05,forward_fill,12,12,node_flow_chunk_012.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_012.parquet,202853,0,True,True,completed,recomputed,0.7340733999999998,57518785,2026-06-15T16:22:59.446580887+00:00
0.05,forward_fill,13,13,node_flow_chunk_013.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_013.parquet,203428,0,True,True,completed,recomputed,0.636145500000012,57562549,2026-06-15T16:23:06.806795597+00:00
0.05,forward_fill,14,14,node_flow_chunk_014.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_014.parquet,200359,0,True,True,completed,recomputed,0.659907600000011,57568406,2026-06-15T16:23:14.231944799+00:00
0.05,forward_fill,15,15,node_flow_chunk_015.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_015.parquet,199762,0,True,True,completed,recomputed,0.7857338999999968,57502773,2026-06-15T16:23:21.838442087+00:00
0.05,forward_fill,16,16,node_flow_chunk_016.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_016.parquet,204014,0,True,True,completed,recomputed,0.7862581999999918,57543661,2026-06-15T16:23:29.393470764+00:00
0.05,forward_fill,17,17,node_flow_chunk_017.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_017.parquet,201479,0,True,True,completed,recomputed,0.666159399999998,57684845,2026-06-15T16:23:36.542055368+00:00
0.05,forward_fill,18,18,node_flow_chunk_018.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_018.parquet,202102,0,True,True,completed,recomputed,0.6763357000000099,57677829,2026-06-15T16:23:43.970688581+00:00
0.05,forward_fill,19,19,node_flow_chunk_019.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_019.parquet,206465,0,True,True,completed,recomputed,0.6288892000000033,57681221,2026-06-15T16:23:51.047650099+00:00
0.05,forward_fill,20,20,node_flow_chunk_020.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_020.parquet,201253,0,True,True,completed,recomputed,0.7779258000000198,57711211,2026-06-15T16:23:58.887694359+00:00
0.05,forward_fill,21,21,node_flow_chunk_021.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_021.parquet,203336,0,True,True,completed,recomputed,0.6675950000000057,57721991,2026-06-15T16:24:06.262481689+00:00
0.05,forward_fill,22,22,node_flow_chunk_022.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_022.parquet,201979,0,True,True,completed,recomputed,0.6393331999999816,57677743,2026-06-15T16:24:13.322782040+00:00
0.05,forward_fill,23,23,node_flow_chunk_023.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_023.parquet,201154,0,True,True,completed,recomputed,2.0149317999999994,57666198,2026-06-15T16:32:48.481618881+00:00
0.05,forward_fill,24,24,node_flow_chunk_024.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_024.parquet,203223,0,True,True,completed,recomputed,0.8031351000000058,57699300,2026-06-15T16:33:01.741188049+00:00
0.05,forward_fill,25,25,node_flow_chunk_025.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_025.parquet,199416,0,True,True,completed,recomputed,0.7703573999999946,57690709,2026-06-15T16:33:11.029156208+00:00
0.05,forward_fill,26,26,node_flow_chunk_026.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_026.parquet,202227,0,True,True,completed,recomputed,0.83075860000001,57695607,2026-06-15T16:33:19.499941826+00:00
0.05,forward_fill,27,27,node_flow_chunk_027.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_027.parquet,200642,0,True,True,completed,recomputed,0.9061895000000106,57697084,2026-06-15T16:33:27.059223175+00:00
0.05,forward_fill,28,28,node_flow_chunk_028.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_028.parquet,202139,0,True,True,completed,recomputed,0.5921900999999963,57675406,2026-06-15T16:33:33.987524748+00:00
0.05,forward_fill,29,29,node_flow_chunk_029.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_029.parquet,201555,0,True,True,completed,recomputed,0.8326435999999973,57641231,2026-06-15T16:33:42.062179804+00:00
0.05,forward_fill,30,30,node_flow_chunk_030.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_030.parquet,200102,0,True,True,completed,recomputed,1.1536384999999996,57614760,2026-06-15T16:33:55.567975998+00:00
