chunk_index,day_index,file_name,row_count,node_count,time_slot_count,time_slot_min,time_slot_max,target_non_null_count,target_col,node_col,time_col
0,0,node_flow_chunk_000.parquet,4034976,42031,96,0,95,4034976,路口车流量,节点ID,时间段
1,1,node_flow_chunk_001.parquet,4034976,42031,96,96,191,4034976,路口车流量,节点ID,时间段
2,2,node_flow_chunk_002.parquet,4034976,42031,96,192,287,4034976,路口车流量,节点ID,时间段
3,3,node_flow_chunk_003.parquet,4034976,42031,96,288,383,4034976,路口车流量,节点ID,时间段
4,4,node_flow_chunk_004.parquet,4034976,42031,96,384,479,4034976,路口车流量,节点ID,时间段
5,5,node_flow_chunk_005.parquet,4034976,42031,96,480,575,4034976,路口车流量,节点ID,时间段
6,6,node_flow_chunk_006.parquet,4034976,42031,96,576,671,4034976,路口车流量,节点ID,时间段
7,7,node_flow_chunk_007.parquet,4034976,42031,96,672,767,4034976,路口车流量,节点ID,时间段
8,8,node_flow_chunk_008.parquet,4034976,42031,96,768,863,4034976,路口车流量,节点ID,时间段
9,9,node_flow_chunk_009.parquet,4034976,42031,96,864,959,4034976,路口车流量,节点ID,时间段
10,10,node_flow_chunk_010.parquet,4034976,42031,96,960,1055,4034976,路口车流量,节点ID,时间段
11,11,node_flow_chunk_011.parquet,4034976,42031,96,1056,1151,4034976,路口车流量,节点ID,时间段
12,12,node_flow_chunk_012.parquet,4034976,42031,96,1152,1247,4034976,路口车流量,节点ID,时间段
13,13,node_flow_chunk_013.parquet,4034976,42031,96,1248,1343,4034976,路口车流量,节点ID,时间段
14,14,node_flow_chunk_014.parquet,4034976,42031,96,1344,1439,4034976,路口车流量,节点ID,时间段
15,15,node_flow_chunk_015.parquet,4034976,42031,96,1440,1535,4034976,路口车流量,节点ID,时间段
16,16,node_flow_chunk_016.parquet,4034976,42031,96,1536,1631,4034976,路口车流量,节点ID,时间段
17,17,node_flow_chunk_017.parquet,4034976,42031,96,1632,1727,4034976,路口车流量,节点ID,时间段
18,18,node_flow_chunk_018.parquet,4034976,42031,96,1728,1823,4034976,路口车流量,节点ID,时间段
