Round,Global_Loss
1,5372.184989765208
2,5123.048735986999
3,4884.373002257297
4,4662.133329141428
5,4457.870107164826
6,4271.612441414414
7,4102.958758539067
8,3950.6384215024677
9,3813.29917055788
10,3690.3103473712144
11,3579.938126727632
12,3481.86199625095
13,3393.3796131853933
14,3313.841441566064
15,3243.002084964851
16,3178.7607464413586
17,3121.7302749009914
18,3070.401945637068
19,3024.099978825945
20,2982.5017097993505
21,2945.2958912621357
22,2911.84858862453
23,2881.7159434240853
24,2854.6945727194534
25,2830.5214956496147
26,2808.9574447515597
27,2789.5706326667423
28,2772.0907944659934
29,2756.375720102624
30,2742.2750527060257
