Client,Method,Period,MSE,RMSE,MAE
Client 0,CNN-FedAvg,morning_peak,6144.784,78.38867,78.37877
Client 0,CNN-FedAvg,evening_peak,5283.0596,72.68466,72.666176
Client 0,CNN-FedAvg,off_peak,5355.335,73.18015,72.98032
Client 0,Independent,morning_peak,4053.0366,63.663464,63.651287
Client 0,Independent,evening_peak,3359.7605,57.96344,57.940277
Client 0,Independent,off_peak,3422.7576,58.504337,58.254566
Client 1,CNN-FedAvg,morning_peak,4190.1084,64.73105,64.52769
Client 1,CNN-FedAvg,evening_peak,1669.6133,40.8609,39.963783
Client 1,CNN-FedAvg,off_peak,3748.0286,61.221146,60.625042
Client 1,Independent,morning_peak,3195.886,56.53217,56.299194
Client 1,Independent,evening_peak,1079.2756,32.85233,31.729593
Client 1,Independent,off_peak,2817.8599,53.08352,52.394512
Client 2,CNN-FedAvg,morning_peak,7880.2607,88.770836,87.54742
Client 2,CNN-FedAvg,evening_peak,6829.5967,82.64137,82.46913
Client 2,CNN-FedAvg,off_peak,7017.6826,83.77161,83.115776
Client 2,Independent,morning_peak,4270.3315,65.34777,63.675896
Client 2,Independent,evening_peak,3460.7852,58.828438,58.58606
Client 2,Independent,off_peak,3618.547,60.15436,59.238426
Client 3,CNN-FedAvg,morning_peak,2978.2944,54.573753,54.298565
Client 3,CNN-FedAvg,evening_peak,5660.0576,75.23335,75.105545
Client 3,CNN-FedAvg,off_peak,4058.489,63.706272,62.704105
Client 3,Independent,morning_peak,1883.1067,43.394775,43.048107
Client 3,Independent,evening_peak,4096.456,64.00356,63.85325
Client 3,Independent,off_peak,2774.325,52.67186,51.456146
Client 4,CNN-FedAvg,morning_peak,2392.2,48.910122,48.691826
Client 4,CNN-FedAvg,off_peak,1685.6594,41.05678,40.21214
Client 4,Independent,morning_peak,2714.0085,52.096146,51.89322
Client 4,Independent,off_peak,1951.8748,44.180027,43.191387
