method,client_id,mse,rmse,mape,mae
FedAvg,0,0.00014955569349694997,0.012229296378791332,1.0148675180971622,0.010148675180971622
Independent,0,0.00016660828259773552,0.012907682918012142,1.1164894327521324,0.011164894327521324
FedAvg,1,0.00020820154168177396,0.014429190196096897,1.198252011090517,0.01198252011090517
Independent,1,0.000225060575758107,0.01500201877206564,1.1954104527831078,0.011954104527831078
FedAvg,2,0.00018503433966543525,0.013602732680737972,1.0341538116335869,0.010341538116335869
Independent,2,0.00018456662655808032,0.01358553022146225,1.1168650351464748,0.011168650351464748
FedAvg,3,0.00019086807151325047,0.013815500773489475,1.0777591727674007,0.010777591727674007
Independent,3,0.0004877694009337574,0.02208550274372101,1.810317486524582,0.01810317486524582
FedAvg,4,0.00018060102593153715,0.013438788242638111,1.0695096105337143,0.010695096105337143
Independent,4,0.00016989160212688148,0.013034246861934662,1.1331803165376186,0.011331803165376186
