method,client_id,distribution_type,traffic_pattern,sample_size,noise_level,incident_prob,mse,rmse,mae,mape,improvement_over_fedavg_rmse,improvement_over_independent_rmse
Independent,0,normal,平稳通勤型,600,2.0,0.0,7.1110758781433105,2.6666600604770214,2.1472713947296143,2.7215585112571716,,
FedAvg,0,normal,平稳通勤型,600,2.0,0.0,10.236201286315918,3.199406395929707,2.6335065364837646,3.421173244714737,,
Proposed,0,normal,平稳通勤型,600,2.0,0.0,8.781795501708984,2.9634094387561407,2.4271185398101807,3.147970139980316,7.38,-11.13
Independent,1,student-t,波动型,500,5.0,0.0,40.759254455566406,6.384297491154873,5.188468933105469,8.581051975488663,,
FedAvg,1,student-t,波动型,500,5.0,0.0,25.780906677246094,5.077490194697188,4.080389499664307,6.7145101726055145,,
Proposed,1,student-t,波动型,500,5.0,0.0,23.647781372070312,4.86289845381027,3.9018704891204834,6.393837928771973,4.23,23.83
Independent,2,chi-square,偏态高流量型,700,8.0,0.0,135.8654327392578,11.656132838092478,10.122310638427734,11.29864752292633,,
FedAvg,2,chi-square,偏态高流量型,700,8.0,0.0,94.01580047607422,9.696174527929776,8.066919326782227,8.840888738632202,,
Proposed,2,chi-square,偏态高流量型,700,8.0,0.0,92.7535400390625,9.630863930046074,7.972728729248047,8.7102971971035,0.67,17.38
Independent,3,gaussian_mixture,双峰型,550,4.0,0.0,27.95155906677246,5.286923402771452,4.210960388183594,5.86734265089035,,
FedAvg,3,gaussian_mixture,双峰型,550,4.0,0.0,18.797327041625977,4.335588430839115,3.4565112590789795,4.908643290400505,,
Proposed,3,gaussian_mixture,双峰型,550,4.0,0.0,17.560787200927734,4.190559294524745,3.323340654373169,4.700862243771553,3.35,20.74
Independent,4,log_normal,突发拥堵型,450,6.0,0.05,108.70474243164062,10.426156647185032,7.420491695404053,81.91600441932678,,
FedAvg,4,log_normal,突发拥堵型,450,6.0,0.05,119.75666809082031,10.943338982724619,8.234550476074219,109.57446098327637,,
Proposed,4,log_normal,突发拥堵型,450,6.0,0.05,119.33064270019531,10.92385658548277,8.156121253967285,107.4416995048523,0.18,-4.77
