round,method,val_rmse_mean,val_rmse_std,val_mae_mean,val_mae_std
1,FedAvg,9.872982373976079,4.180770977075945,7.688814926147461,2.6375915839319406
1,Proposed,9.846178980292676,4.204355156696131,7.670505237579346,2.688106336770146
2,FedAvg,9.49361334594654,4.217247219209969,7.327948093414307,2.7065692155846923
2,Proposed,9.412473261328964,4.2726644546573,7.25003719329834,2.768023537350794
3,FedAvg,9.188725638485838,4.353895802434561,6.910497379302979,2.798760783322871
3,Proposed,9.022809994770913,4.42618415457965,6.67718095779419,2.7321944698550023
4,FedAvg,8.686412593514879,3.9994869838332985,6.537193012237549,2.6603784981479635
4,Proposed,8.606550642318844,4.183126512601355,6.44891586303711,2.844765539536666
5,FedAvg,8.62751962698699,4.41393482278941,6.326073455810547,2.8217088353785225
5,Proposed,8.576585906216058,4.496540600444066,6.1831526279449465,2.759254912116945
6,FedAvg,8.61703441703666,4.6299178322262655,6.54010534286499,3.500489940079312
6,Proposed,8.42149941376351,4.658455171388857,6.188894748687744,3.2429109292445117
7,FedAvg,9.27069111565329,5.48166483528864,7.3888286590576175,4.836226971620022
7,Proposed,8.710961418564374,5.091868872474264,6.510511159896851,3.828111587509432
8,FedAvg,8.476534146932048,4.287104484042834,6.572618913650513,3.2977266407929418
8,Proposed,8.093564510638796,4.146088278409888,5.96660885810852,2.826164316370273
9,FedAvg,8.05554377596132,4.145917008201747,5.896847438812256,2.7707903452548974
9,Proposed,8.012723008858739,4.414258995613293,5.750448274612427,2.821784163066279
10,FedAvg,8.007371147266038,4.311663905518238,5.793756771087646,2.8239926178235177
10,Proposed,7.9951020279416865,4.477824644637522,5.685152006149292,2.809814873323844
11,FedAvg,7.917400620707733,4.350166980918036,5.604216480255127,2.664130056796684
11,Proposed,7.954187711201317,4.5925986149988995,5.605118322372436,2.8407241329150397
12,FedAvg,7.970451794898304,4.191816882073818,5.863993501663208,2.8816136551894727
12,Proposed,7.941966994465796,4.34492718828025,5.756443738937378,2.881019117231964
13,FedAvg,7.795188692086549,4.197780349312635,5.565425682067871,2.6581915573457975
13,Proposed,7.830975893587693,4.427167093880348,5.537204790115356,2.7896515261665273
14,FedAvg,7.700629188564344,4.131109793885149,5.522929286956787,2.684958031777727
14,Proposed,7.74400515994639,4.2679923087352405,5.543238401412964,2.76726523782607
15,FedAvg,7.603729620570867,3.9568021712600383,5.56406421661377,2.7386616464043367
15,Proposed,7.589868486636092,4.154600470756717,5.4403363227844235,2.7260761276919014
