feature_set,method,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std
flow_event,FedAvg,70.78669859568278,94.00099606211256,7.1571325680407645,4.578149033238487,5.674832820892334,3.8825532378248644,53.79431361953417,132.76038813888303
flow_event,Proposed,69.14596735636393,90.79343937082669,7.089852354177796,4.497613766407158,5.58157787322998,3.7730200322999874,50.272720232605934,121.19709186539662
flow_only,FedAvg,66.76688477198283,84.57311816800515,7.050345538892578,4.275283518693779,5.59100915590922,3.65989808397864,53.94825100898743,135.81217721594234
flow_only,Proposed,66.05838108062744,84.50814374447597,6.977354324102825,4.314623106766981,5.48785445690155,3.6556299016263907,50.65291931231817,124.88851124938869
flow_region,FedAvg,72.9317834854126,93.69628459271789,7.25595077380972,4.661731957437683,5.798685105641683,3.9639712187682,54.73874249806007,135.25352421348936
flow_region,Proposed,69.77512814203898,89.26976244296472,7.109407789931705,4.539286722425677,5.6350279728571575,3.8255109845139024,51.17857894549767,124.37997032564441
flow_time,FedAvg,109.88789304097493,133.73855354585743,9.150116481278483,5.294531689125528,7.6355788230896,4.642001449441165,79.27826901276906,209.97185970105366
flow_time,Proposed,107.9272356669108,128.965568624319,9.058671320642507,5.264542061024846,7.547724835077921,4.614348016707744,75.47228214641412,195.82490198648722
full,FedAvg,105.66711851755778,141.77299346268376,8.880763677523593,5.35848676215744,7.258418830235799,4.573820880009448,82.5560237467289,231.36163071452762
full,Proposed,102.1721741994222,132.71319970921806,8.750891053346955,5.236623773128446,7.1444660186767575,4.462049838950534,78.84845060606797,216.7498425064583
