method,client_id,period,mse,rmse,mae,mape,num_samples
FedAvg,0,evening_peak,7.464541183068202,2.7321312528991357,2.3539593036358175,2.362283170223236,13
FedAvg,0,morning_peak,10.908552832435817,3.3028098389758704,2.664608637491862,2.8805387107034526,12
FedAvg,0,off_peak,4.09261250280186,2.0230206382540588,1.6289867478974012,1.9928299340666558,98
FedAvg,1,evening_peak,14.19773471057415,3.767988151596837,3.0764419555664064,3.541629381477833,10
FedAvg,1,morning_peak,29.839635491371155,5.4625667493744325,4.365275065104167,5.620627919832866,6
FedAvg,1,off_peak,17.782471464082448,4.216926779549587,3.247466164073725,4.919183947231578,87
FedAvg,2,evening_peak,106.70494957489427,10.32980878694733,9.036558628082275,8.610783016309142,16
FedAvg,2,morning_peak,164.88568526692688,12.840782112742467,8.789845784505209,7.965779061118762,12
FedAvg,2,off_peak,86.89734757212193,9.321874681206669,7.181502101732337,7.22760159936936,115
FedAvg,3,evening_peak,31.08110644817352,5.575043179041174,4.563150024414062,5.349154376983643,10
FedAvg,3,morning_peak,28.451196212034958,5.333966273987394,4.750547555776743,5.877263078322778,13
FedAvg,3,off_peak,18.559105536455494,4.308028033387839,3.166518825954861,4.059553157662352,90
FedAvg,4,evening_peak,348.4580344557762,18.667030681278053,12.682660675048828,19.42768235206604,5
FedAvg,4,incident_period,179.47259222160687,13.396738118721546,10.438785795731977,205.011827507886,55
FedAvg,4,morning_peak,212.20365858078003,14.567211764122193,12.459259033203125,19.893430352211,4
FedAvg,4,off_peak,184.01789225997595,13.56531946767108,10.251858349504142,19.694757788345733,29
Independent,0,evening_peak,11.437118185701994,3.3818808650959298,2.9245235736553488,2.9187465768594008,13
Independent,0,morning_peak,8.32721753542622,2.885691864254779,2.4124978383382163,2.573341983060042,12
Independent,0,off_peak,7.614778276114744,2.7594887707897535,2.327258129509128,2.7777490798307927,98
Independent,1,evening_peak,10.571096489671618,3.251322267889115,2.58426513671875,2.898657242953777,10
Independent,1,morning_peak,16.682882870237034,4.084468492991106,3.633622487386068,4.518523087104161,6
Independent,1,off_peak,18.25754305254668,4.272884628976856,3.2777593766135733,4.943540930747986,87
Independent,2,evening_peak,70.1560923345387,8.37592337205509,7.381043910980225,7.001049619168043,16
Independent,2,morning_peak,145.79671029746532,12.074630855536137,8.772900263468424,8.080937542021275,12
Independent,2,off_peak,97.39174647222718,9.868725676206994,7.320519555133322,7.304465416592101,115
Independent,3,evening_peak,44.43547571152449,6.665993977759393,5.449776458740234,6.54337868988514,10
Independent,3,morning_peak,27.89599514953219,5.281665944522826,4.63095210148738,5.707162045515501,13
Independent,3,off_peak,21.767917925792023,4.665610134354565,3.4828548855251737,4.507022693546282,90
Independent,4,evening_peak,309.3354976654053,17.587936140019536,11.735240936279297,17.3794864654541,5
Independent,4,incident_period,123.93133880848234,11.132445320255668,8.301235337690873,205.3368133089759,55
Independent,4,morning_peak,37.36820603907108,6.112953953619402,4.304719924926758,6.440289348363876,4
Independent,4,off_peak,118.10118743417591,10.86743702232389,7.201852864232556,13.840630683405646,29
Proposed,0,evening_peak,6.533867030189588,2.5561429987756137,2.1711995051457333,2.18283316722283,13
Proposed,0,morning_peak,9.325390712047616,3.0537502700855574,2.454530715942383,2.6509392679048083,12
Proposed,0,off_peak,3.9552271470774385,1.988775288230784,1.5962255828234615,1.9504250445764284,98
Proposed,1,evening_peak,15.208897913433612,3.8998587042909145,3.244891357421875,3.733448626101017,10
Proposed,1,morning_peak,27.940462690244505,5.285873881416819,4.152154286702474,5.344489137331645,6
Proposed,1,off_peak,17.581295922591256,4.193005595344616,3.2236479835948724,4.88005191224745,87
Proposed,2,evening_peak,107.15510777174495,10.351575134816196,9.008902549743652,8.581034974195063,16
Proposed,2,morning_peak,158.76660100867352,12.600261942065869,8.469796498616537,7.633269761999448,12
Proposed,2,off_peak,86.56053005696639,9.303791165807969,7.155980383831522,7.204239831022594,115
Proposed,3,evening_peak,31.041933178901672,5.5715288008680055,4.600321197509766,5.357761573791504,10
Proposed,3,morning_peak,27.807011439250065,5.273235386292751,4.713383601262019,5.835094892061674,13
Proposed,3,off_peak,17.944330279166913,4.236074867039877,3.0985721164279516,3.971934946688513,90
Proposed,4,evening_peak,352.31412479877474,18.770032626470705,12.660902404785157,19.344555258750916,5
Proposed,4,incident_period,172.66499240398406,13.140205188808281,10.288944175026634,200.3568413474343,55
Proposed,4,morning_peak,212.618182182312,14.581432789075016,12.33261775970459,19.638832569122314,4
Proposed,4,off_peak,179.29313464000307,13.39003863474647,10.01107511849239,19.18684649056402,29
