method,period,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,total_samples
FedAvg,evening_peak,101.58127327449726,143.56052979862835,8.214400410352507,6.529251409321157,6.3425541173494775,4.393098782013588,7.858306459411979,6.883903265543219,54
FedAvg,incident_period,179.47259222160687,,13.396738118721546,,10.438785795731977,,205.011827507886,,55
FedAvg,morning_peak,89.25774567670977,92.46867988895345,8.301467347840472,5.042740518488962,6.60590721521622,3.969506945337223,8.44752782443777,6.648867540312001,47
FedAvg,off_peak,62.26988586708753,75.3383143296889,6.687033920013846,4.684210608479271,5.0952664378324934,3.538797376218659,7.578785285335135,7.028184169958996,419
Independent,evening_peak,89.18705607736841,125.55450987909109,7.852611324563813,5.865529756840019,6.014970003274771,3.7492564671822675,7.348263718864092,5.9332420992738735,54
Independent,incident_period,123.93133880848234,,11.132445320255668,,8.301235337690873,,205.3368133089759,,55
Independent,morning_peak,47.21420237834637,56.19832449270916,6.0878822221848505,3.562283752586259,4.750938523121369,2.4034550120361704,5.464050801212972,2.068239657399673,47
Independent,off_peak,52.6266346321713,51.11358520018594,6.4868292465304105,3.6310606161507772,4.72204896220275,2.358923181979162,6.67468176082456,4.319407660195497,419
Proposed,evening_peak,102.45078613860892,145.22761906899703,8.229827653044287,6.5879362227290565,6.337243402921237,4.389245021863172,7.839926720012267,6.854428000801299,54
Proposed,incident_period,172.66499240398406,,13.140205188808281,,10.288944175026634,,200.3568413474343,,55
Proposed,morning_peak,87.29152960650553,92.13459113926872,8.158910853787201,5.089659036524319,6.4244965724456,3.9667752556977485,8.220525125683977,6.627683621900008,47
Proposed,off_peak,61.06690360916101,73.5521323416238,6.622337110233943,4.638366469941138,5.017100237034039,3.4682199300845977,7.438699645019801,6.833012137643602,419
