figure_file,workflow,figure_type,description,source_csv,used_in_paper
enhanced_dataset_client_timeseries.png,data_viz,line,Per-client average traffic flow time series for the enhanced dataset.,enhanced_dataset_summary.csv,recommended
enhanced_dataset_distribution_comparison.png,data_viz,box,Client-level traffic flow distribution comparison for the enhanced dataset.,enhanced_dataset_summary.csv,recommended
enhanced_dataset_client_config.png,data_viz,bar,"Client configuration overview for sample size, noise, base flow, and incident probability.",enhanced_dataset_summary.csv,yes
enhanced_dataset_peak_pattern.png,data_viz,line,Twenty-four-hour peak traffic patterns across enhanced clients.,enhanced_dataset_summary.csv,recommended
enhanced_dataset_incident_example.png,data_viz,line,Incident example with shaded disruption periods for the incident-prone client.,enhanced_dataset_summary.csv,yes
enhanced_dataset_client_correlation_matrix.png,data_viz,heatmap,Inter-client traffic correlation matrix for the enhanced dataset.,enhanced_dataset_summary.csv,recommended
enhanced_dataset_node_correlation_matrix.png,data_viz,heatmap,Node correlation matrix for a representative enhanced client.,enhanced_dataset_summary.csv,recommended
cnn_enhanced_main_rmse_comparison.png,main,bar,"Main comparison of Independent, FedAvg, and Proposed using MSE, RMSE, MAE, and MAPE.",cnn_enhanced_main_metrics_summary.csv,recommended
cnn_enhanced_aggregation_ablation.png,aggregation,bar,"Aggregation strategy ablation on RMSE, MAE, and MAPE.",cnn_enhanced_aggregation_ablation_summary.csv,recommended
cnn_enhanced_lambda_sensitivity.png,lambda,line,Lambda sensitivity analysis for the data-loss weighted aggregation strategy.,cnn_enhanced_lambda_sensitivity_summary.csv,recommended
cnn_enhanced_global_validation_rmse.png,convergence,line,Global validation RMSE across communication rounds.,cnn_enhanced_convergence_summary.csv,recommended
cnn_enhanced_client_training_loss.png,convergence,line,Per-client training loss across communication rounds for FedAvg and Proposed.,cnn_enhanced_convergence_round_metrics.csv,recommended
cnn_enhanced_convergence_overview.png,convergence,line,Combined convergence overview including validation metrics and per-client losses.,cnn_enhanced_convergence_summary.csv,yes
cnn_enhanced_client_scale.png,client_scale,line,"Client-scale sensitivity analysis for RMSE, MAE, and MAPE.",cnn_enhanced_client_scale_summary.csv,recommended
cnn_enhanced_noniid_strength.png,noniid,bar,"Method comparison under different Non-IID strengths measured by RMSE, MAE, and MAPE.",cnn_enhanced_noniid_strength_summary.csv,recommended
cnn_enhanced_client_rmse_comparison.png,client_metrics,bar,"Per-client RMSE comparison across Independent, FedAvg, and Proposed.",cnn_enhanced_client_metrics.csv,recommended
cnn_enhanced_client_improvement.png,client_metrics,bar,RMSE improvement of Proposed over baselines for each client.,cnn_enhanced_client_metrics.csv,yes
cnn_enhanced_peak_offpeak_comparison.png,peak,bar,"Performance comparison across peak, off-peak, and incident periods measured by RMSE, MAE, and MAPE.",cnn_enhanced_peak_offpeak_summary.csv,recommended
cnn_enhanced_feature_ablation.png,feature_ablation,bar,"Feature ablation comparison for FedAvg and Proposed measured by RMSE, MAE, and MAPE.",cnn_enhanced_feature_ablation_summary.csv,recommended
