noniid_level,seed,method,client_id,mse,rmse,mae,mape
low,42,FedAvg,0,7.601412296295166,2.7570658853743715,2.2390308380126953,2.867814525961876
low,42,FedAvg,1,9.774964332580566,3.126493936117671,2.4640934467315674,3.4228328615427017
low,42,FedAvg,2,14.513201713562012,3.8096196284618773,3.219575881958008,4.107881337404251
low,42,FedAvg,3,14.136677742004395,3.7598773573089317,3.0269887447357178,4.063591733574867
low,42,FedAvg,4,13.156135559082031,3.627138756524491,2.958372116088867,4.052533209323883
medium,42,FedAvg,0,8.797269821166992,2.96601918759252,2.435495376586914,3.155336156487465
medium,42,FedAvg,1,23.263057708740234,4.8231792117585925,3.8657970428466797,6.3292063772678375
medium,42,FedAvg,2,92.57548522949219,9.621615520768442,7.981016635894775,8.696871250867844
medium,42,FedAvg,3,21.024580001831055,4.585256808711051,3.646760940551758,5.085468664765358
medium,42,FedAvg,4,174.02450561523438,13.191834808518275,10.594941139221191,112.90007829666138
high,42,FedAvg,0,250.39878845214844,15.823994073941902,12.210451126098633,113.5806679725647
high,42,FedAvg,1,534.9885864257812,23.12982028520285,17.783748626708984,128.08849811553955
high,42,FedAvg,2,129.97274780273438,11.400559100444784,8.79999828338623,13.247212767601013
high,42,FedAvg,3,125.7909164428711,11.215654971639912,8.965991973876953,453.3123016357422
high,42,FedAvg,4,269.41595458984375,16.413895168114234,12.700898170471191,22.5830540060997
low,2024,FedAvg,0,7.238110065460205,2.690373592172694,2.12876033782959,2.648366056382656
low,2024,FedAvg,1,8.675989151000977,2.9455032084519917,2.36895751953125,3.206893801689148
low,2024,FedAvg,2,10.209835052490234,3.1952832507447964,2.4636943340301514,3.2126974314451218
low,2024,FedAvg,3,10.841776847839355,3.292685355122678,2.639963388442993,3.2903995364904404
low,2024,FedAvg,4,8.786088943481445,2.9641337593775092,2.334747076034546,2.98291128128767
medium,2024,FedAvg,0,8.989368438720703,2.9982275495233353,2.4159367084503174,3.0240051448345184
medium,2024,FedAvg,1,35.142242431640625,5.9280892732515955,4.528563499450684,7.411663979291916
medium,2024,FedAvg,2,78.40099334716797,8.85443354185732,7.199487686157227,7.8660085797309875
medium,2024,FedAvg,3,20.559358596801758,4.534242891244553,3.4595751762390137,4.393573105335236
medium,2024,FedAvg,4,110.69996643066406,10.521405154762554,7.072925090789795,103.86437177658081
high,2024,FedAvg,0,110.47590637207031,10.510751941325145,8.126367568969727,18.03424209356308
high,2024,FedAvg,1,395.69696044921875,19.892133129687693,15.63323974609375,88.2677435874939
high,2024,FedAvg,2,87.373779296875,9.347394251708602,6.491637229919434,13.454082608222961
high,2024,FedAvg,3,152.60592651367188,12.353377129905486,9.086148262023926,118.0859923362732
high,2024,FedAvg,4,290.9293518066406,17.056651248314854,11.94438648223877,26.607194542884827
low,2025,FedAvg,0,6.882431507110596,2.623438870473371,2.108518123626709,2.7710530906915665
low,2025,FedAvg,1,8.137985229492188,2.8527154133372976,2.2461044788360596,3.046324662864208
low,2025,FedAvg,2,12.134771347045898,3.483499870395562,2.7915165424346924,3.633764758706093
low,2025,FedAvg,3,8.693079948425293,2.9484029487885968,2.2981722354888916,3.1777676194906235
low,2025,FedAvg,4,8.851144790649414,2.9750873584904047,2.4622552394866943,3.1135091558098793
medium,2025,FedAvg,0,6.240968704223633,2.498193087858429,2.0089499950408936,2.651043049991131
medium,2025,FedAvg,1,19.99074935913086,4.471101582287173,3.4081504344940186,5.286688357591629
medium,2025,FedAvg,2,97.87186431884766,9.893020990518904,7.718839645385742,8.115364611148834
medium,2025,FedAvg,3,24.24272346496582,4.923690025272288,3.823669195175171,5.447597056627274
medium,2025,FedAvg,4,322.5314636230469,17.959160994407476,15.724113464355469,489.56103324890137
high,2025,FedAvg,0,257.1615295410156,16.036256718480644,12.557927131652832,221.018385887146
high,2025,FedAvg,1,427.0550842285156,20.665311133116667,16.613019943237305,374.72083568573
high,2025,FedAvg,2,67.40242004394531,8.209897687787912,6.339818954467773,8.997675031423569
high,2025,FedAvg,3,123.56526947021484,11.115991609848168,9.013174057006836,550.554084777832
high,2025,FedAvg,4,258.6132507324219,16.081456735396266,12.878080368041992,22.80697375535965
