round,method,avg_train_loss,avg_val_loss,avg_val_rmse,avg_val_mae,avg_val_mape,seed
1,FedAvg,0.49720134452503056,0.9840496333310982,10.091028314926465,7.956414031982422,15.680576264858246,42
2,FedAvg,0.45433046099830243,0.838570413598538,9.436682279225613,7.294727611541748,14.052698016166687,42
3,FedAvg,0.4517562976889307,0.7240089223454065,8.97460280016237,6.702529239654541,11.93308986723423,42
4,FedAvg,0.3943220841414314,0.837535135620425,9.622297525039297,7.5909477233886715,13.69608961045742,42
5,FedAvg,0.3965969460766032,0.6453403467439524,8.489710625027843,6.261024522781372,11.375295296311378,42
6,FedAvg,0.3842565283513261,0.6526777927466668,8.60748556526714,6.562328910827636,11.91273219883442,42
7,FedAvg,0.4075950143197439,0.6253441259783235,8.491134492108367,6.313107490539551,11.533910632133484,42
8,FedAvg,0.38875717352795586,0.5888231428251185,8.298665620828917,6.091887617111206,10.630668252706528,42
9,FedAvg,0.36661983783287233,0.5575232348339167,8.010270896742517,5.743407440185547,10.374220944941044,42
10,FedAvg,0.3822212185526968,0.5898209192358163,8.239445839591937,6.132110929489135,11.502232626080513,42
1,Proposed,0.49720134452503056,0.9507914952804748,9.955576652647789,7.8238709449768065,15.549132078886032,42
2,Proposed,0.4534330158544507,0.803010978981742,9.305714344325018,7.114666557312011,13.698439821600914,42
3,Proposed,0.4465904303548102,0.7112252626483603,8.963266794637217,6.628119659423828,11.56495176255703,42
4,Proposed,0.3948118727467128,0.787793165605678,9.450083516240175,7.433119773864746,13.06986391544342,42
5,Proposed,0.3941926522586062,0.6196048635019491,8.392427188813025,6.11693172454834,10.953564792871475,42
6,Proposed,0.38432135201541,0.6501715152431038,8.641888591620194,6.585997629165649,11.79761677980423,42
7,Proposed,0.3988446490998802,0.5904341388161038,8.403106265161387,6.046610879898071,10.590148940682411,42
8,Proposed,0.39329270899343083,0.5427168459622698,7.964863646355299,5.66936182975769,10.320739038288593,42
9,Proposed,0.36759448251358534,0.5327885276825063,7.972395484304371,5.607692098617553,9.838306494057178,42
10,Proposed,0.3937812727980503,0.6005992594929775,8.378863398863281,6.32859468460083,11.496462523937225,42
1,FedAvg,0.47855179665752834,0.955404418427171,9.810811569500995,7.897646713256836,11.359346061944962,2024
2,FedAvg,0.44586678806274305,0.8042082573524396,9.120030909576807,7.275859928131103,10.479769483208656,2024
3,FedAvg,0.4295145953218952,0.7080322975161861,8.462987825936995,6.539945411682129,8.898763507604599,2024
4,FedAvg,0.4038003356644234,0.6451785109012604,7.9218405863770744,6.076292705535889,7.928017750382423,2024
5,FedAvg,0.37168069093076395,0.6184645961069999,7.819301129783362,5.9439691543579105,7.9057761281728745,2024
6,FedAvg,0.3986431975343833,0.6110553894478179,7.7959492205372145,5.927125453948975,7.881302237510681,2024
7,FedAvg,0.3761077640258987,0.5386674203798548,7.391834821559021,5.522088623046875,7.230562642216682,2024
8,FedAvg,0.38022583326424164,0.5582804521276077,7.547901118189062,5.6594799041748045,7.569992542266846,2024
9,FedAvg,0.380776431114497,0.5558475263438297,7.273319292671007,5.540134048461914,6.958646848797798,2024
10,FedAvg,0.3605208326135383,0.49688792206036425,6.8917057847618635,5.125487565994263,6.587347686290741,2024
1,Proposed,0.47855179665752834,0.9353985606655838,9.75561634029233,7.825420570373535,11.26888707280159,2024
2,Proposed,0.4450098176807996,0.7836641138466454,9.013854509012779,7.159098434448242,10.242115408182144,2024
3,Proposed,0.42236601136483065,0.6745006094305629,8.285911469423336,6.375968170166016,8.687919080257416,2024
4,Proposed,0.40413447741321173,0.6100707596650345,7.713876273048379,5.857352924346924,7.551108226180077,2024
5,Proposed,0.3739230651566765,0.5984786570112057,7.71483871552545,5.861262226104737,7.807876169681549,2024
6,Proposed,0.3963765937555783,0.5823445856186676,7.603925672038993,5.739191341400146,7.467402517795563,2024
7,Proposed,0.37565555588980415,0.5364708198964403,7.3849264876375615,5.5142457485198975,7.237194702029228,2024
8,Proposed,0.37886046102689874,0.5383164740412584,7.3979586720909065,5.489001083374023,7.230065762996674,2024
9,Proposed,0.37770006644070914,0.5169842895462077,7.095248637545092,5.333471202850342,6.752500981092453,2024
10,Proposed,0.3607720499644123,0.4961126165847679,6.891130390405013,5.13758602142334,6.5493302792310715,2024
1,FedAvg,0.4848720810042299,0.8123200297229071,8.281368603226385,6.502378177642822,8.347073271870613,3407
2,FedAvg,0.4506195812790484,0.7334087480781635,7.83025445093385,6.148342037200928,7.945795357227325,3407
3,FedAvg,0.44595832823975057,0.6692721585686957,7.362790561652199,5.786703968048096,7.563430219888687,3407
4,FedAvg,0.4286558479189936,0.5598800284739781,6.913817952715242,5.314742183685302,6.8964215368032455,3407
5,FedAvg,0.40445016755096014,0.5213215612115738,6.659508510411461,5.0509340286254885,6.527174711227417,3407
6,FedAvg,0.3873680476803064,0.5126356649826851,6.640523423148411,4.96829743385315,6.309284120798111,3407
7,FedAvg,0.38120227225143505,0.45672098928733107,6.3766400664698635,4.78432788848877,6.22097834944725,3407
8,FedAvg,0.4034675232088589,0.4739211200588083,6.608438272142914,4.843484401702881,6.140285134315491,3407
9,FedAvg,0.37286052987772955,0.4652388893814061,6.516072875334208,4.9784458637237545,6.4003705233335495,3407
10,FedAvg,0.36290950549925294,0.4558572138788574,6.474828226512796,4.860564374923706,6.182434856891632,3407
1,Proposed,0.4848720810042299,0.8039128978746796,8.290149974213335,6.505020427703857,8.370695486664772,3407
2,Proposed,0.4518601516051368,0.7026913002927081,7.734661223756459,6.051055812835694,7.830087393522263,3407
3,Proposed,0.44957543589786714,0.635023307174672,7.226392869160144,5.6432188034057615,7.396015897393227,3407
4,Proposed,0.427736177795292,0.5537936384639455,6.932490428521712,5.293287134170532,6.870571970939636,3407
5,Proposed,0.4059724615550815,0.5240048750660117,6.757503558221932,5.184197044372558,6.74543209373951,3407
6,Proposed,0.3881750747118513,0.5036192484553895,6.6260647623701345,4.9941120624542235,6.4064771682024,3407
7,Proposed,0.4046720390917578,0.4498106626501663,6.411533212773316,4.800896215438843,6.270986273884773,3407
8,Proposed,0.40153101868928376,0.48119523326288843,6.721681102037136,4.9671302318573,6.320154741406441,3407
9,Proposed,0.377133662965958,0.4379761836319476,6.367690486751725,4.747538280487061,6.096745580434799,3407
10,Proposed,0.369967025021354,0.45832096143258305,6.587876535811779,5.068514966964722,6.522893235087395,3407
1,FedAvg,0.5006056809226441,0.8841565763167498,10.156639272193289,8.240492248535157,147.2438795119524,1234
2,FedAvg,0.4728608643949765,0.798253268437968,9.446004372633748,7.573966598510742,127.58767448365688,1234
3,FedAvg,0.4230900450306267,0.6954891184797587,9.005195383270063,7.16995792388916,113.14740777015686,1234
4,FedAvg,0.4205735630407125,0.6156024559573575,8.439727989348446,6.658802795410156,105.66321648657322,1234
5,FedAvg,0.41279801463561033,0.557888245403188,7.8371598140767755,6.080785846710205,89.22320403158665,1234
6,FedAvg,0.39688631301760285,0.5606116923025242,7.986379845985885,6.203506374359131,95.96336290240288,1234
7,FedAvg,0.38461527230285697,0.5118788164097288,7.477207372161709,5.788256406784058,79.15978580713272,1234
8,FedAvg,0.3866052167804949,0.5400284055194347,7.867221630339938,6.061068916320801,85.5254177749157,1234
9,FedAvg,0.3655584872141162,0.5035968491084668,7.4701315018682575,5.685105419158935,75.31308837234974,1234
10,FedAvg,0.3684985794238511,0.49432112595633654,7.356591150276334,5.60844054222107,75.91710988432169,1234
1,Proposed,0.5006056809226441,0.8748878445496671,10.130277723502081,8.202529335021973,146.14591278135777,1234
2,Proposed,0.4712820405719871,0.7527421234895371,9.23509740022958,7.383265590667724,125.78476563096046,1234
3,Proposed,0.42358146168838734,0.6496063439470567,8.687860076354003,6.886235046386719,106.89718022942543,1234
4,Proposed,0.41938524481974315,0.5940414936908903,8.29204021559832,6.533022451400757,101.21390551328659,1234
5,Proposed,0.41540297155921724,0.5450316556101172,7.737359566056874,6.011045026779175,88.20162236690521,1234
6,Proposed,0.3958544373782301,0.542273550238836,7.897845120698662,6.153636121749878,94.29713107645512,1234
7,Proposed,0.3898520205857485,0.49646326672418395,7.3721175860747765,5.709089994430542,77.74083882570267,1234
8,Proposed,0.3913116264047765,0.5263695132953926,7.777297778980076,5.988797807693482,83.55618953704834,1234
9,Proposed,0.36889420720815885,0.48394833195456455,7.322508036062933,5.580280780792236,73.03843572735786,1234
10,Proposed,0.37574246402338385,0.4769953337229363,7.295410018908347,5.563691425323486,77.63471774756908,1234
1,FedAvg,0.5098758136441477,0.9266348598945564,9.039279400003593,7.221732711791992,8.87383982539177,5678
2,FedAvg,0.45697517414758854,0.8856984108242714,8.970336964382245,6.687782669067383,7.795210778713226,5678
3,FedAvg,0.43594043829932555,0.7914495533703455,8.38576229205016,6.246470737457275,7.300055995583534,5678
4,FedAvg,0.44031983020978893,0.711802997876145,8.106669159318987,6.146098995208741,7.280339673161507,5678
5,FedAvg,0.40453252476712087,0.6828660458981151,7.8933833769358674,5.8226110458374025,6.889195591211319,5678
6,FedAvg,0.39669706773517166,0.700611828880858,7.882339748170343,5.540100479125977,6.3091835379600525,5678
7,FedAvg,0.3783642938111824,0.7384710191858355,8.315595443951441,5.872925186157227,6.86372697353363,5678
8,FedAvg,0.3806804799846277,0.6516873503605353,7.6931710642155435,5.38303575515747,6.205550953745842,5678
9,FedAvg,0.3660364238412229,0.6413940519755055,7.617835418993738,5.318130731582642,6.101659834384918,5678
10,FedAvg,0.36608058739671945,0.63441797778037,7.626651544060114,5.280983638763428,6.084004491567612,5678
1,Proposed,0.5098758136441477,0.9022904495871822,8.991675127870788,7.193647670745849,8.829326182603836,5678
2,Proposed,0.4567102853730532,0.8593704370260531,8.860620704724758,6.5851731300354,7.681063637137413,5678
3,Proposed,0.43392308457256873,0.728051326120974,8.1183325015033,6.159607601165772,7.30718769133091,5678
4,Proposed,0.4349908432607757,0.691815226167776,7.987986600742045,6.024069023132324,7.141033411026001,5678
5,Proposed,0.4055661590255951,0.6372427241626889,7.673413312242779,5.765282058715821,6.894812881946564,5678
6,Proposed,0.39669466955779464,0.6334965566055618,7.5570153114657455,5.231898593902588,5.98112516105175,5678
7,Proposed,0.3827920391027815,0.6577293994655584,7.874122653751451,5.401833963394165,6.284584850072861,5678
8,Proposed,0.39025210654102277,0.5937735817343472,7.380666268103099,5.19580864906311,6.0256557166576385,5678
9,Proposed,0.37758779856710867,0.587481223347141,7.392995161120568,5.104058361053466,5.9123339504003525,5678
10,Proposed,0.37086888895145226,0.5933708161273357,7.4198375351303865,5.09948353767395,5.877194404602051,5678
