method,round,n,avg_train_loss_mean,avg_train_loss_std,avg_train_loss_ci95_lower,avg_train_loss_ci95_upper,avg_val_loss_mean,avg_val_loss_std,avg_val_loss_ci95_lower,avg_val_loss_ci95_upper,avg_val_rmse_mean,avg_val_rmse_std,avg_val_rmse_ci95_lower,avg_val_rmse_ci95_upper,avg_val_mae_mean,avg_val_mae_std,avg_val_mae_ci95_lower,avg_val_mae_ci95_upper,avg_val_mape_mean,avg_val_mape_std,avg_val_mape_ci95_lower,avg_val_mape_ci95_upper
FedAvg,1,5,0.49422134335071616,0.011203981554720587,0.48440062051571264,0.5040420661857197,0.9125131035384964,0.05999884776713792,0.8599217946843355,0.9651044123926572,9.475825431970145,0.7171467546232544,8.84721858584321,10.10443227809708,7.563732776641847,0.6272380883416704,7.013934351227121,8.113531202056572,38.3009429872036,54.53307760541486,-9.499407083604197,86.1012930580114
FedAvg,2,5,0.4561305737765318,0.009160488147087411,0.44810105188857613,0.4641600956644875,0.812027819658276,0.05012725312226767,0.7680893450196382,0.8559662942969137,8.960661795350452,0.5942164262571028,8.439808132946967,9.481515457753938,6.9961357688903805,0.5128600212695471,6.546594139654108,7.445677398126653,33.572229623794556,47.06239801684974,-7.67978106693775,74.82424031452686
FedAvg,3,5,0.43725194091610575,0.010472090494757353,0.42807274888068547,0.44643113295152603,0.7176504100560785,0.04101421798008688,0.6816998629126709,0.7536009571994862,8.438267772614356,0.5948245649472135,7.916881053146143,8.959654492082569,6.489121456146241,0.46128818566992874,6.084784533919043,6.893458378373438,29.768549472093582,41.721903400293904,-6.8023112921712325,66.33941023635839
FedAvg,4,5,0.41753433219506997,0.016610448978379884,0.40297463171850983,0.4320940326716301,0.6739998257658332,0.09532798803692862,0.5904411600935604,0.7575584914381059,8.20087064255981,0.8741559966601511,7.434639127823108,8.96710215729651,6.357376880645752,0.7514370733248088,5.6987132449527875,7.016040516338717,28.292817011475563,38.76415395156248,-5.6854620523010695,62.271096075252196
FedAvg,5,5,0.3980116687922117,0.014127517034600358,0.38562835412269186,0.4103949834617316,0.6051761590727658,0.058469142984515075,0.5539256955793498,0.6564266225661818,7.739812691247062,0.5947743881349726,7.21846995369397,8.261155428800155,5.831864919662475,0.4168082636092312,5.4665163681450295,6.197213471179921,24.384129151701927,32.464796411188736,-4.072519575532887,52.84077787893674
FedAvg,6,5,0.39277023086375806,0.005805525492906319,0.3876814634020374,0.3978589983254787,0.6075184736721104,0.06621365445246524,0.549479646573508,0.6655573007707128,7.7825355606218,0.6381892395051848,7.223138027981145,8.341933093262455,5.840271730422974,0.5497802291103845,5.358368112152292,6.322175348693656,25.67517299950123,35.20379369670106,-5.182312703006026,56.53265870200848
FedAvg,7,5,0.3855769233422234,0.011371417485010412,0.3756094364433943,0.39554441024105247,0.5742164742482148,0.09853781010963975,0.4878442754786395,0.66058867301779,7.61048243925008,0.7563951893950407,6.947472823204354,8.273492055295806,5.656141119003296,0.504793616231233,5.213670005526913,6.098612232479679,22.201792880892754,28.54048739452568,-2.815047329760276,47.21863309154578
FedAvg,8,5,0.3879472453532358,0.008435189774088919,0.38055347551995006,0.3953410151865216,0.5625480941783009,0.05833742342897389,0.5114130879659061,0.6136831003906956,7.603079541143275,0.5575093599977424,7.114401040940712,8.091758041345837,5.607791318893433,0.4641468826183505,5.2009486383103685,6.014633999476498,23.21438293159008,31.19803541847041,-4.131900828787124,50.560666691967285
FedAvg,9,5,0.3703703419760876,0.005839362994716058,0.3652519146363067,0.3754887693158685,0.544720110328625,0.05940029877780057,0.49265345279584877,0.5967867678614012,7.377525997121945,0.49389290823737986,6.944609775483797,7.810442218760094,5.453044700622558,0.2789957301282687,5.208494160766953,5.697595240478164,21.02959730476141,27.184862287421875,-2.7989851084277184,44.858179717950534
FedAvg,10,5,0.3680461446972117,0.0075896800419850705,0.36139349682068167,0.3746987925737417,0.5342610317823488,0.06671944093743377,0.4757788632824502,0.5927432002822475,7.317844509040609,0.6063798750775783,6.786329113662981,7.849359904418237,5.40151741027832,0.438163239972569,5.017450396668795,5.785584423887845,21.254625909030437,27.406364504843427,-2.768111758164732,45.27736357622561
Proposed,1,5,0.49422134335071616,0.011203981554720587,0.48440062051571264,0.5040420661857197,0.8934562495915175,0.05193713208965971,0.8479313460912424,0.9389811530917925,9.424659163705266,0.6875885195461593,8.821961252965833,10.0273570744447,7.510097789764404,0.5979405782056023,6.985979764250088,8.03421581527872,38.0327907204628,54.11645006982462,-9.402369213920828,85.46795065484642
Proposed,2,5,0.4556590622170855,0.008694549283788742,0.4480379537500342,0.46328017068413685,0.780295790727337,0.05208029681022565,0.7346453978165732,0.8259461836381008,8.829989636409719,0.5700728345250625,8.3302987652411,9.329680507578338,6.858651905059814,0.4812552808813642,6.436813052207872,7.280490757911756,33.04729437828064,46.419922716395064,-7.641561881744607,73.73615063830589
