model_type,num_clients,communication_rounds,num_parameters,parameter_size_mb,total_communication_mb
CNN/CCN,3,5,48065,0.1834,5.5
CNN/CCN,3,10,48065,0.1834,11.0
CNN/CCN,3,15,48065,0.1834,16.5
CNN/CCN,5,5,48065,0.1834,9.17
CNN/CCN,5,10,48065,0.1834,18.34
CNN/CCN,5,15,48065,0.1834,27.5
CNN/CCN,8,5,48065,0.1834,14.67
CNN/CCN,8,10,48065,0.1834,29.34
CNN/CCN,8,15,48065,0.1834,44.0
CNN/CCN,10,5,48065,0.1834,18.34
CNN/CCN,10,10,48065,0.1834,36.67
CNN/CCN,10,15,48065,0.1834,55.01
GCN,3,5,43460,0.1658,4.97
GCN,3,10,43460,0.1658,9.95
GCN,3,15,43460,0.1658,14.92
GCN,5,5,43460,0.1658,8.29
GCN,5,10,43460,0.1658,16.58
GCN,5,15,43460,0.1658,24.87
GCN,8,5,43460,0.1658,13.26
GCN,8,10,43460,0.1658,26.53
GCN,8,15,43460,0.1658,39.79
GCN,10,5,43460,0.1658,16.58
GCN,10,10,43460,0.1658,33.16
GCN,10,15,43460,0.1658,49.74
