seed,model_type,noise_sigma,method,client_id,mse,rmse,mae
42,CNN/CCN,0.0,FedAvg,0,10.632762908935547,3.260791761050611,2.691777467727661
42,CNN/CCN,0.0,FedAvg,1,22.152578353881836,4.706652563540445,3.8549418449401855
42,CNN/CCN,0.0,FedAvg,2,98.89131164550781,9.944411075850988,8.350305557250977
42,CNN/CCN,0.0,FedAvg,3,22.10613250732422,4.701715910954661,3.7149550914764404
42,CNN/CCN,0.0,FedAvg,4,337.4661560058594,18.3702519309306,15.098564147949219
42,CNN/CCN,0.0,Proposed,0,10.632762908935547,3.260791761050611,2.691777467727661
42,CNN/CCN,0.0,Proposed,1,22.152578353881836,4.706652563540445,3.8549418449401855
42,CNN/CCN,0.0,Proposed,2,98.89131164550781,9.944411075850988,8.350305557250977
42,CNN/CCN,0.0,Proposed,3,22.10613250732422,4.701715910954661,3.7149550914764404
42,CNN/CCN,0.0,Proposed,4,337.4661560058594,18.3702519309306,15.098564147949219
42,CNN/CCN,0.001,FedAvg,0,11.427834510803223,3.3805080255492994,2.7895140647888184
42,CNN/CCN,0.001,FedAvg,1,23.41448211669922,4.8388513220287335,3.919863700866699
42,CNN/CCN,0.001,FedAvg,2,100.2999496459961,10.014986252910989,8.445284843444824
42,CNN/CCN,0.001,FedAvg,3,20.61370086669922,4.54023136708904,3.6393043994903564
42,CNN/CCN,0.001,FedAvg,4,256.2449951171875,16.007654266543476,12.898773193359375
42,CNN/CCN,0.001,Proposed,0,11.427834510803223,3.3805080255492994,2.7895140647888184
42,CNN/CCN,0.001,Proposed,1,23.41448211669922,4.8388513220287335,3.919863700866699
42,CNN/CCN,0.001,Proposed,2,100.2999496459961,10.014986252910989,8.445284843444824
42,CNN/CCN,0.001,Proposed,3,20.61370086669922,4.54023136708904,3.6393043994903564
42,CNN/CCN,0.001,Proposed,4,256.2449951171875,16.007654266543476,12.898773193359375
42,CNN/CCN,0.005,FedAvg,0,10.739093780517578,3.2770556572199956,2.7046091556549072
42,CNN/CCN,0.005,FedAvg,1,22.805694580078125,4.775530816577161,3.8792858123779297
42,CNN/CCN,0.005,FedAvg,2,99.96273040771484,9.998136346725566,8.404855728149414
42,CNN/CCN,0.005,FedAvg,3,19.668590545654297,4.434928471312057,3.5476596355438232
42,CNN/CCN,0.005,FedAvg,4,236.3349151611328,15.373188191170133,12.200812339782715
42,CNN/CCN,0.005,Proposed,0,10.739093780517578,3.2770556572199956,2.7046091556549072
42,CNN/CCN,0.005,Proposed,1,22.805694580078125,4.775530816577161,3.8792858123779297
42,CNN/CCN,0.005,Proposed,2,99.96273040771484,9.998136346725566,8.404855728149414
42,CNN/CCN,0.005,Proposed,3,19.668590545654297,4.434928471312057,3.5476596355438232
42,CNN/CCN,0.005,Proposed,4,236.3349151611328,15.373188191170133,12.200812339782715
42,CNN/CCN,0.01,FedAvg,0,11.736547470092773,3.4258644850742086,2.8344919681549072
42,CNN/CCN,0.01,FedAvg,1,26.242080688476562,5.122702479012085,4.149725914001465
42,CNN/CCN,0.01,FedAvg,2,103.79003143310547,10.18773926998063,8.587752342224121
42,CNN/CCN,0.01,FedAvg,3,21.028615951538086,4.585696888318949,3.6747148036956787
42,CNN/CCN,0.01,FedAvg,4,216.64215087890625,14.718768660418107,11.56706428527832
42,CNN/CCN,0.01,Proposed,0,11.736547470092773,3.4258644850742086,2.8344919681549072
42,CNN/CCN,0.01,Proposed,1,26.242080688476562,5.122702479012085,4.149725914001465
42,CNN/CCN,0.01,Proposed,2,103.79003143310547,10.18773926998063,8.587752342224121
42,CNN/CCN,0.01,Proposed,3,21.028615951538086,4.585696888318949,3.6747148036956787
42,CNN/CCN,0.01,Proposed,4,216.64215087890625,14.718768660418107,11.56706428527832
