seed,method,client_id,mse,rmse,mae,mape,noise_std
42,FedAvg,0,13.672198295593262,3.697593581722207,3.114872694015503,4.035981371998787,0.0
42,FedAvg,1,29.547073364257812,5.435721972678313,4.431417942047119,7.3132045567035675,0.0
42,FedAvg,2,102.05097961425781,10.102028490073556,8.532718658447266,9.412655979394913,0.0
42,FedAvg,3,27.408842086791992,5.235345460119322,4.269153594970703,6.002151966094971,0.0
42,FedAvg,4,206.5743865966797,14.372695870875432,11.273478507995605,128.3191442489624,0.0
42,Proposed,0,12.133251190185547,3.483281669659453,2.9084665775299072,3.7665367126464844,0.0
42,Proposed,1,27.66074562072754,5.25934840267571,4.271993160247803,7.036883383989334,0.0
42,Proposed,2,99.9347915649414,9.996739046556202,8.402420997619629,9.25147756934166,0.0
42,Proposed,3,25.711355209350586,5.070636568454752,4.124944686889648,5.787132307887077,0.0
42,Proposed,4,197.13650512695312,14.04053079933067,10.879768371582031,126.3224720954895,0.0
42,FedAvg,0,8.331754684448242,2.886477902989774,2.3688104152679443,3.036790154874325,0.02
42,FedAvg,1,20.121286392211914,4.4856756895937,3.648212432861328,5.852964147925377,0.02
42,FedAvg,2,91.1807632446289,9.548861882163179,7.82426643371582,8.43028724193573,0.02
42,FedAvg,3,20.974645614624023,4.579808469207421,3.641273260116577,4.99240830540657,0.02
42,FedAvg,4,222.32142639160156,14.910446887722767,11.4088134765625,118.06893348693848,0.02
42,Proposed,0,7.928674221038818,2.8157901592694756,2.304518461227417,2.9489193111658096,0.02
42,Proposed,1,19.782588958740234,4.447762241705399,3.6184709072113037,5.784614756703377,0.02
42,Proposed,2,90.91077423095703,9.53471416619067,7.779913425445557,8.365742862224579,0.02
42,Proposed,3,21.042932510375977,4.587257624155851,3.6245663166046143,4.955154657363892,0.02
42,Proposed,4,223.18817138671875,14.939483638557215,11.393855094909668,117.33886003494263,0.02
42,FedAvg,0,7.719857215881348,2.7784631032067617,2.2284224033355713,2.8218362480401993,0.05
42,FedAvg,1,21.554580688476562,4.642691104141709,3.739575147628784,5.828079953789711,0.05
42,FedAvg,2,93.17108917236328,9.652517245380258,7.633955478668213,8.069229125976562,0.05
42,FedAvg,3,23.571002960205078,4.854997730195667,3.8267464637756348,5.155522748827934,0.05
42,FedAvg,4,249.7702178955078,15.80412028223994,11.84659194946289,108.95724296569824,0.05
42,Proposed,0,7.686949729919434,2.772534892462029,2.223027467727661,2.8131017461419106,0.05
42,Proposed,1,21.745046615600586,4.663158437754457,3.74473237991333,5.825939029455185,0.05
42,Proposed,2,93.29821014404297,9.659099861997648,7.591960906982422,8.01224485039711,0.05
42,Proposed,3,23.845273971557617,4.883162292158394,3.84157657623291,5.172842741012573,0.05
42,Proposed,4,249.53656005859375,15.796726244972207,11.7940673828125,108.37283134460449,0.05
2024,FedAvg,0,13.576773643493652,3.6846673721645016,3.0551440715789795,3.8197211921215057,0.0
2024,FedAvg,1,39.44704818725586,6.280688512197995,4.902861595153809,8.086804300546646,0.0
2024,FedAvg,2,81.3387451171875,9.018799538585359,7.392249584197998,8.173807710409164,0.0
2024,FedAvg,3,23.6643123626709,4.86459786237988,3.971252202987671,5.087332054972649,0.0
2024,FedAvg,4,153.88641357421875,12.405096274282547,8.187714576721191,134.64889526367188,0.0
2024,Proposed,0,13.010976791381836,3.6070731613569795,2.985966920852661,3.7335220724344254,0.0
2024,Proposed,1,39.08919143676758,6.252134950300383,4.88008451461792,8.04867148399353,0.0
2024,Proposed,2,80.94782257080078,8.997100786964698,7.374139308929443,8.15349668264389,0.0
2024,Proposed,3,23.595439910888672,4.857513758178012,3.9625632762908936,5.082042142748833,0.0
2024,Proposed,4,149.35556030273438,12.221111254821894,7.972158908843994,133.47214460372925,0.0
2024,FedAvg,0,16.340335845947266,4.0423181277513605,3.4047460556030273,4.250814393162727,0.02
2024,FedAvg,1,42.64304733276367,6.530164418509206,5.162572383880615,8.563686907291412,0.02
2024,FedAvg,2,89.64685821533203,9.468202480689353,7.8695855140686035,8.763926476240158,0.02
2024,FedAvg,3,29.69186019897461,5.449023784034587,4.480257987976074,5.738735944032669,0.02
2024,FedAvg,4,196.11854553222656,14.004233129030185,10.43299388885498,146.40302658081055,0.02
2024,Proposed,0,15.179474830627441,3.8960845512677778,3.256840944290161,4.06682975590229,0.02
2024,Proposed,1,41.32075500488281,6.42812219896937,5.051882743835449,8.361504971981049,0.02
2024,Proposed,2,88.35536193847656,9.399753291362309,7.777543544769287,8.641906082630157,0.02
2024,Proposed,3,29.644630432128906,5.44468827685561,4.451415061950684,5.683530122041702,0.02
2024,Proposed,4,191.5110321044922,13.838751103495293,10.263045310974121,143.3884859085083,0.02
2024,FedAvg,0,18.090553283691406,4.2532991058343645,3.575040578842163,4.4638991355896,0.05
2024,FedAvg,1,43.31525802612305,6.581432824706414,5.18594217300415,8.601132780313492,0.05
2024,FedAvg,2,94.73636627197266,9.7332608242034,8.065248489379883,8.97672027349472,0.05
2024,FedAvg,3,31.201120376586914,5.585796306399555,4.55906867980957,5.808917060494423,0.05
2024,FedAvg,4,219.64622497558594,14.820466422335903,11.591267585754395,150.40820837020874,0.05
2024,Proposed,0,16.7617244720459,4.0941085076052754,3.4113383293151855,4.26064059138298,0.05
