model_type,num_clients,rounds,num_parameters,parameter_size_mb,total_communication_mb
CNN-Base,3,3,48068,0.1833648681640625,3.300567626953125
CNN-Base,3,5,48068,0.1833648681640625,5.500946044921875
CNN-Base,5,3,48068,0.1833648681640625,5.500946044921875
CNN-Base,5,5,48068,0.1833648681640625,9.168243408203125
CNN-Base,8,3,48068,0.1833648681640625,8.801513671875
CNN-Base,8,5,48068,0.1833648681640625,14.669189453125
CNN-Enhanced,3,3,48068,0.1833648681640625,3.300567626953125
CNN-Enhanced,3,5,48068,0.1833648681640625,5.500946044921875
CNN-Enhanced,5,3,48068,0.1833648681640625,5.500946044921875
CNN-Enhanced,5,5,48068,0.1833648681640625,9.168243408203125
CNN-Enhanced,8,3,48068,0.1833648681640625,8.801513671875
CNN-Enhanced,8,5,48068,0.1833648681640625,14.669189453125
GCN-Base,3,3,43396,0.1655426025390625,2.979766845703125
GCN-Base,3,5,43396,0.1655426025390625,4.966278076171875
GCN-Base,5,3,43396,0.1655426025390625,4.966278076171875
GCN-Base,5,5,43396,0.1655426025390625,8.277130126953125
GCN-Base,8,3,43396,0.1655426025390625,7.946044921875
GCN-Base,8,5,43396,0.1655426025390625,13.243408203125
GCN-Enhanced,3,3,43267,0.16505050659179688,2.9709091186523438
GCN-Enhanced,3,5,43267,0.16505050659179688,4.951515197753906
GCN-Enhanced,5,3,43267,0.16505050659179688,4.951515197753906
GCN-Enhanced,5,5,43267,0.16505050659179688,8.252525329589844
GCN-Enhanced,8,3,43267,0.16505050659179688,7.92242431640625
GCN-Enhanced,8,5,43267,0.16505050659179688,13.20404052734375
