experiment,scenario,baseline_method,enhanced_method,metric,mean_improvement_percent,std_improvement_percent,improved_seed_count,total_seed_count,per_seed_improved
fed_robustness,client_dropout@0.0,FedAvg,Proposed,mae,1.3144214983755174,0.9994652508856322,5,5,"42:Y,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,client_dropout@0.0,FedAvg,Proposed,rmse,0.9852958444453173,0.8133113711696082,5,5,"42:Y,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,client_dropout@0.0,FedAvg,Proposed,mape,1.8661464070040306,0.8876577705238895,5,5,"42:Y,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,client_dropout@0.0,FedAvg,Proposed,r2,35.88189048976176,57.21384283281836,5,5,"42:Y,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,client_dropout@0.2,FedAvg,Proposed,mae,1.4910484570595126,0.4519173743542256,5,5,"42:Y,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,client_dropout@0.2,FedAvg,Proposed,rmse,1.0406933533529297,0.48796220704309834,5,5,"42:Y,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,client_dropout@0.2,FedAvg,Proposed,mape,2.3929274234955646,1.4476768363805703,5,5,"42:Y,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,client_dropout@0.2,FedAvg,Proposed,r2,14.181595171618664,10.652486960497564,5,5,"42:Y,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,client_dropout@0.4,FedAvg,Proposed,mae,0.8664744845272206,0.8143946680791319,4,5,"42:Y,1234:Y,2024:N,3407:Y,5678:Y"
fed_robustness,client_dropout@0.4,FedAvg,Proposed,rmse,0.5028829858620332,0.597178571196829,4,5,"42:Y,1234:Y,2024:N,3407:Y,5678:Y"
fed_robustness,client_dropout@0.4,FedAvg,Proposed,mape,1.586748949638091,1.9971728288554298,3,5,"42:Y,1234:Y,2024:N,3407:Y,5678:N"
fed_robustness,client_dropout@0.4,FedAvg,Proposed,r2,4.32614845692639,7.790804754185408,4,5,"42:Y,1234:Y,2024:N,3407:Y,5678:Y"
fed_robustness,communication_delay@0,FedAvg,Proposed,mae,1.3144214983755174,0.9994652508856322,5,5,"42:Y,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,communication_delay@0,FedAvg,Proposed,rmse,0.9852958444453173,0.8133113711696082,5,5,"42:Y,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,communication_delay@0,FedAvg,Proposed,mape,1.8661464070040306,0.8876577705238895,5,5,"42:Y,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,communication_delay@0,FedAvg,Proposed,r2,35.88189048976176,57.21384283281836,5,5,"42:Y,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,communication_delay@1,FedAvg,Proposed,mae,1.0329615012570774,1.1846484071323509,4,5,"42:N,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,communication_delay@1,FedAvg,Proposed,rmse,0.6149319611395219,0.9685447717541318,4,5,"42:N,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,communication_delay@1,FedAvg,Proposed,mape,1.5236944178132448,1.1374483535486246,4,5,"42:N,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,communication_delay@1,FedAvg,Proposed,r2,7.235440678072704,25.327889885111073,4,5,"42:N,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,communication_delay@2,FedAvg,Proposed,mae,1.4803393817384904,0.6584070876123703,5,5,"42:Y,1234:Y,2024:Y,3407:Y,5678:Y"
fed_robustness,communication_delay@2,FedAvg,Proposed,rmse,1.0777136645795902,0.5005300473025067,5,5,"42:Y,1234:Y,2024:Y,3407:Y,5678:Y"
