method,client_id,mse,rmse,mape,mae
FedAvg,0,0.00016942803631536663,0.013016452081501484,1.1233840137720108,0.011233840137720108
Independent,0,0.00016592929023317993,0.012881354428827763,1.116148941218853,0.01116148941218853
FedAvg,1,0.00018474625539965928,0.013592139817774296,1.1525899171829224,0.011525899171829224
Independent,1,0.0001919401402119547,0.013854246586561203,1.1290215887129307,0.011290215887129307
FedAvg,2,0.00017023368855006993,0.013047363609075546,1.077467855066061,0.01077467855066061
Independent,2,0.00027475086972117424,0.016575610265135765,1.3218951411545277,0.013218951411545277
FedAvg,3,0.00019670461188070476,0.014025142416357994,1.052948646247387,0.01052948646247387
Independent,3,0.00020752397540491074,0.014405691996216774,1.0815997608006,0.010815997608006
FedAvg,4,0.00012336854706518352,0.01110713928937912,0.9460961446166039,0.009460961446166039
Independent,4,0.00012614447041414678,0.011231405660510063,0.9514993987977505,0.009514993987977505
