num_clients,graph_type,method,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std
3,fixed_adjacency,GCN-FedAvg,41.25156439675225,36.58657819028756,5.8260960352256435,2.867349047154065,4.639951282077366,2.3017432823479393
3,fixed_adjacency,GCN-Proposed,40.964224603441025,36.663183340679716,5.793095866723855,2.88613894202731,4.603649457295735,2.309179802920042
3,fixed_adjacency,Independent,100.04164192411635,132.39215166434957,8.317940191703551,5.891536472158932,7.033400509092543,5.163400495255035
5,fixed_adjacency,GCN-FedAvg,69.40128087997437,91.35464935241896,7.064052330380984,4.570922721040971,5.432020735740662,3.47788601023259
5,fixed_adjacency,GCN-Proposed,67.83471749623617,88.42398101723008,7.0078054720770995,4.479163660984972,5.397032229105632,3.41077152163001
5,fixed_adjacency,Independent,99.30916763941447,116.04559430877624,8.549963421772249,5.298985057042025,6.899952427546183,4.422494863621613
8,fixed_adjacency,GCN-FedAvg,60.024599154790245,84.49793656022207,6.601989788385608,4.141622868919536,5.1608211795489,3.3493984713777274
8,fixed_adjacency,GCN-Proposed,58.49712405602137,80.08159105937229,6.5395208898922474,4.051639357316679,5.095141530036926,3.242310701003153
8,fixed_adjacency,Independent,83.40394073724747,99.14606863147839,7.8119789606960515,4.832166724904702,6.339057475328445,4.064472948046535
10,fixed_adjacency,GCN-FedAvg,65.57326745986938,94.99713333634946,6.846097257939194,4.398771748008305,5.204752997557322,3.35165675478519
10,fixed_adjacency,GCN-Proposed,63.00287175178528,89.0303770285835,6.739430414716141,4.264886638383207,5.100698268413543,3.2039719914222133
10,fixed_adjacency,Independent,84.30288103421529,103.73500521296147,7.852267444397679,4.840003243358948,6.214429648717244,3.9506241702483735
