round,method,graph_type,val_rmse_mean,val_rmse_std,val_mae_mean,val_mae_std
1,GCN-FedAvg,fixed_adjacency,9.55144284561419,3.7778114496959674,7.348446655273437,2.3292435545010135
1,GCN-Proposed,fixed_adjacency,9.480226901524151,3.801131945434771,7.258181381225586,2.3189285181166275
2,GCN-FedAvg,fixed_adjacency,8.912528353686232,3.8399498435579713,6.622020053863525,2.2021515440014263
2,GCN-Proposed,fixed_adjacency,8.845326890160546,3.8082469454124435,6.560108757019043,2.1806396909248162
3,GCN-FedAvg,fixed_adjacency,8.579667494228781,4.011460664850929,6.443358612060547,2.7992004352410373
3,GCN-Proposed,fixed_adjacency,8.510024248570788,3.8750024092997317,6.425225162506104,2.7425718190545703
4,GCN-FedAvg,fixed_adjacency,8.333562762369658,3.926699919598777,6.135881423950195,2.5308731204030677
4,GCN-Proposed,fixed_adjacency,8.202672435943446,3.764599883793629,6.025658988952637,2.4518105903133325
5,GCN-FedAvg,fixed_adjacency,8.228897129667848,4.138852936038901,6.193035459518432,3.1421176316419723
5,GCN-Proposed,fixed_adjacency,8.2022698256417,4.157626471742419,6.167661046981811,3.1483045768089286
6,GCN-FedAvg,fixed_adjacency,8.017667467792865,4.091351654633007,5.916901445388794,2.978501965751978
6,GCN-Proposed,fixed_adjacency,7.989267292829529,4.095176762633874,5.956772756576538,3.0370655727583142
7,GCN-FedAvg,fixed_adjacency,7.99171050436774,4.059141590946398,5.864588642120362,2.878100124584841
7,GCN-Proposed,fixed_adjacency,7.986068045895303,4.096864472964432,5.840711545944214,2.849514758887665
8,GCN-FedAvg,fixed_adjacency,7.968359740019241,4.15094790896326,5.802677774429322,2.879818542212035
8,GCN-Proposed,fixed_adjacency,7.888316078889576,3.985933285890321,5.774107170104981,2.8092325841197536
9,GCN-FedAvg,fixed_adjacency,7.95137091460658,4.1967273236880835,5.961853456497193,3.215401378069293
9,GCN-Proposed,fixed_adjacency,7.808117395523865,4.009646920047203,5.781775236129761,2.9753927246071137
10,GCN-FedAvg,fixed_adjacency,8.017811604901107,4.4618475890027,6.056574201583862,3.423283153223513
10,GCN-Proposed,fixed_adjacency,7.9165700254431925,4.259089570919851,6.06415901184082,3.400661927317891
