seed,noniid_level,graph_type,method,client_id,mse,rmse,mae
42,low,fixed_adjacency,Independent,0,7.10419225692749,2.6653690658007365,2.1730387210845947
42,low,fixed_adjacency,Independent,1,11.735047340393066,3.4256455363030582,2.7860829830169678
42,low,fixed_adjacency,Independent,2,17.48433494567871,4.181427381370949,3.553215503692627
42,low,fixed_adjacency,Independent,3,15.860000610351562,3.9824616269779125,3.155062437057495
42,low,fixed_adjacency,Independent,4,13.744852066040039,3.70740503129076,2.999690294265747
42,low,fixed_adjacency,GCN-FedAvg,0,5.746944427490234,2.3972785460789146,1.9129608869552612
42,low,fixed_adjacency,GCN-FedAvg,1,8.434319496154785,2.9041899896795296,2.325849771499634
42,low,fixed_adjacency,GCN-FedAvg,2,11.672630310058594,3.4165231317903575,2.907806634902954
42,low,fixed_adjacency,GCN-FedAvg,3,11.811841011047363,3.436835901093819,2.7364494800567627
42,low,fixed_adjacency,GCN-FedAvg,4,9.381940841674805,3.062995403469422,2.4796388149261475
42,low,fixed_adjacency,GCN-Proposed,0,5.735439300537109,2.3948777214165045,1.910131573677063
42,low,fixed_adjacency,GCN-Proposed,1,8.442238807678223,2.9055530984097024,2.3275249004364014
42,low,fixed_adjacency,GCN-Proposed,2,11.663350105285645,3.4151647259371902,2.908062696456909
42,low,fixed_adjacency,GCN-Proposed,3,11.835135459899902,3.4402231700719508,2.741960048675537
42,low,fixed_adjacency,GCN-Proposed,4,9.362225532531738,3.059775405570111,2.477163553237915
2024,low,fixed_adjacency,Independent,0,9.065143585205078,3.0108376882862813,2.372626543045044
2024,low,fixed_adjacency,Independent,1,9.858922004699707,3.139892037108873,2.6046290397644043
2024,low,fixed_adjacency,Independent,2,19.210493087768555,4.382977650840642,3.5836615562438965
2024,low,fixed_adjacency,Independent,3,11.699225425720215,3.420413048992799,2.723238945007324
2024,low,fixed_adjacency,Independent,4,15.823973655700684,3.977935853643279,3.226010322570801
2024,low,fixed_adjacency,GCN-FedAvg,0,6.287531852722168,2.507495135134297,1.9592794179916382
2024,low,fixed_adjacency,GCN-FedAvg,1,7.462188243865967,2.7317006138788282,2.195176601409912
2024,low,fixed_adjacency,GCN-FedAvg,2,9.955273628234863,3.155197874656178,2.4420506954193115
2024,low,fixed_adjacency,GCN-FedAvg,3,10.497084617614746,3.2399204647050746,2.5841476917266846
2024,low,fixed_adjacency,GCN-FedAvg,4,7.500653266906738,2.73873205460241,2.1631031036376953
2024,low,fixed_adjacency,GCN-Proposed,0,6.209676265716553,2.491922202982379,1.9476230144500732
2024,low,fixed_adjacency,GCN-Proposed,1,7.436507225036621,2.7269960075212105,2.1844913959503174
2024,low,fixed_adjacency,GCN-Proposed,2,9.903656959533691,3.1470076198722,2.4331085681915283
2024,low,fixed_adjacency,GCN-Proposed,3,10.471627235412598,3.2359893750463082,2.5805087089538574
2024,low,fixed_adjacency,GCN-Proposed,4,7.409607410430908,2.7220594061171606,2.1516335010528564
2025,low,fixed_adjacency,Independent,0,11.612560272216797,3.407720685768832,2.8428211212158203
2025,low,fixed_adjacency,Independent,1,16.699872970581055,4.086547805982582,3.323585271835327
2025,low,fixed_adjacency,Independent,2,15.419418334960938,3.9267567196047346,3.2638704776763916
2025,low,fixed_adjacency,Independent,3,10.273014068603516,3.205154297160047,2.6194005012512207
2025,low,fixed_adjacency,Independent,4,13.03665828704834,3.610631286499404,2.962836742401123
2025,low,fixed_adjacency,GCN-FedAvg,0,6.073462009429932,2.464439491939279,1.9957067966461182
2025,low,fixed_adjacency,GCN-FedAvg,1,7.819587230682373,2.7963524868446705,2.2715578079223633
2025,low,fixed_adjacency,GCN-FedAvg,2,10.908760070800781,3.3028412118660473,2.692257881164551
2025,low,fixed_adjacency,GCN-FedAvg,3,7.911451816558838,2.812730313513693,2.205669641494751
2025,low,fixed_adjacency,GCN-FedAvg,4,7.670917987823486,2.7696422129624407,2.2354018688201904
2025,low,fixed_adjacency,GCN-Proposed,0,6.077742099761963,2.465307708940603,1.9969918727874756
2025,low,fixed_adjacency,GCN-Proposed,1,7.820232391357422,2.7964678420030906,2.2724339962005615
2025,low,fixed_adjacency,GCN-Proposed,2,10.8960599899292,3.300918052592218,2.6918094158172607
2025,low,fixed_adjacency,GCN-Proposed,3,7.896371841430664,2.81004836994502,2.201489210128784
2025,low,fixed_adjacency,GCN-Proposed,4,7.690478324890137,2.7731711676148185,2.2389609813690186
42,medium,fixed_adjacency,Independent,0,6.453258514404297,2.5403264582341176,2.061394453048706
42,medium,fixed_adjacency,Independent,1,33.91217803955078,5.823416354645337,4.686214923858643
42,medium,fixed_adjacency,Independent,2,137.21038818359375,11.713683800734668,10.200761795043945
42,medium,fixed_adjacency,Independent,3,20.24811363220215,4.499790398696605,3.4818930625915527
42,medium,fixed_adjacency,Independent,4,107.44078826904297,10.365364840131917,7.235861301422119
42,medium,fixed_adjacency,GCN-FedAvg,0,6.978175640106201,2.641623674959437,2.0916407108306885
42,medium,fixed_adjacency,GCN-FedAvg,1,20.35816764831543,4.512002620601569,3.7019975185394287
42,medium,fixed_adjacency,GCN-FedAvg,2,89.67769622802734,9.469830844742019,7.752511501312256
42,medium,fixed_adjacency,GCN-FedAvg,3,14.823307991027832,3.8501049324697414,2.956608295440674
42,medium,fixed_adjacency,GCN-FedAvg,4,127.90528106689453,11.309521699298097,8.265005111694336
