method,graph_type,client_id,period,mse,rmse,mae,num_samples
GCN-FedAvg,fixed_adjacency,0,off_peak,8.73882044116234,2.9561495972231073,2.3942812787808054,123
GCN-FedAvg,fixed_adjacency,1,off_peak,23.83749660053878,4.882365881469637,3.943387114885941,103
GCN-FedAvg,fixed_adjacency,2,off_peak,92.01085925133495,9.592229107529436,8.053822604092685,143
GCN-FedAvg,fixed_adjacency,3,off_peak,17.171452763844776,4.14384516649027,3.2202358414641523,113
GCN-FedAvg,fixed_adjacency,4,incident_period,121.45895646077891,11.020841912520972,8.520790922875499,51
GCN-FedAvg,fixed_adjacency,4,off_peak,107.40744705795112,10.363756416374862,7.367513565790086,42
GCN-Proposed,fixed_adjacency,0,off_peak,7.764454000311472,2.7864769872208655,2.235872098100864,123
GCN-Proposed,fixed_adjacency,1,off_peak,22.53477933968517,4.7470811389405565,3.8518962304568984,103
GCN-Proposed,fixed_adjacency,2,off_peak,91.37229597667506,9.558885707898963,7.9930789120547425,143
GCN-Proposed,fixed_adjacency,3,off_peak,15.837348600087658,3.9796166398395285,3.074620069655697,113
GCN-Proposed,fixed_adjacency,4,incident_period,119.73752249163739,10.942464187359143,8.410204831291647,51
GCN-Proposed,fixed_adjacency,4,off_peak,101.07651259908674,10.05368154454311,7.016843932015555,42
Independent,fixed_adjacency,0,off_peak,6.453258857142362,2.5403265256935694,2.061394668206936,123
Independent,fixed_adjacency,1,off_peak,23.43009562992934,4.84046440229957,3.929172626976828,103
Independent,fixed_adjacency,2,off_peak,133.69653992305373,11.562721994541498,10.061347748016145,143
Independent,fixed_adjacency,3,off_peak,16.568635998343208,4.070458941979787,3.163698854699599,113
Independent,fixed_adjacency,4,incident_period,95.30224314857932,9.762286778648706,6.825720431757908,51
Independent,fixed_adjacency,4,off_peak,100.22865085330393,10.011426014974287,6.435805865696499,42
