source_client,target_client,correlation
0,0,1.0
0,1,-0.31319797756201906
0,2,-0.07614071870396241
0,3,0.40241445055982006
0,4,-0.020471890437500875
1,0,-0.31319797756201906
1,1,1.0
1,2,-0.14917707115028964
1,3,0.2835388145022367
1,4,0.14809534766362759
2,0,-0.07614071870396241
2,1,-0.14917707115028964
2,2,1.0
2,3,-0.25744504631761617
2,4,-0.2473391518003013
3,0,0.4024144505598201
3,1,0.2835388145022368
3,2,-0.25744504631761617
3,3,1.0
3,4,0.012191779174951437
4,0,-0.020471890437500875
4,1,0.14809534766362759
4,2,-0.24733915180030133
4,3,0.012191779174951437
4,4,1.0
