seed,method,client_id,mse,rmse,mae,mape
42,FedAvg,0,6.638260364532471,2.5764821684871935,2.0637621879577637,2.6599913835525513
42,FedAvg,1,18.082881927490234,4.252397197756841,3.437189817428589,5.485328659415245
42,FedAvg,2,88.39189147949219,9.401696202254792,7.542752742767334,8.044544607400894
42,FedAvg,3,15.071471214294434,3.882199275448703,2.9777400493621826,4.11263182759285
42,FedAvg,4,120.3146743774414,10.968804601114991,8.1261568069458,98.79974722862244
42,Proposed,0,6.206177234649658,2.4912200293530193,1.9946894645690918,2.5650061666965485
42,Proposed,1,17.872814178466797,4.227625122745251,3.4160683155059814,5.428241565823555
42,Proposed,2,89.22534942626953,9.445917077037546,7.537904739379883,8.023563772439957
42,Proposed,3,15.107603073120117,3.886850019375602,2.972804546356201,4.092297330498695
42,Proposed,4,117.57355499267578,10.843134002338797,7.937016487121582,96.38070464134216
42,Independent,0,10.989954948425293,3.3151100959734796,2.7030208110809326,3.5091787576675415
42,Independent,1,25.19182586669922,5.019145930006341,4.032126426696777,6.5585218369960785
42,Independent,2,138.96238708496094,11.788230871719511,10.276283264160156,11.562275141477585
42,Independent,3,37.40325927734375,6.115820409180092,4.585710525512695,6.157196685671806
42,Independent,4,138.25411987304688,11.758151209822353,8.434873580932617,52.91222333908081
