graph_type,method,client_id,mse,rmse,mae,mape
Functional similarity,FedAvg,0,6.674803256988525,2.583564060941498,2.0712835788726807,2.6693057268857956
Functional similarity,FedAvg,1,18.087020874023438,4.252883830299558,3.433788299560547,5.478456616401672
Functional similarity,FedAvg,2,87.97970581054688,9.379749773344003,7.507908344268799,8.000389486551285
Functional similarity,FedAvg,3,14.969865798950195,3.869091081759409,2.9667720794677734,4.098934307694435
Functional similarity,FedAvg,4,118.11381530761719,10.868018002727874,8.054076194763184,98.71360063552856
Functional similarity,Proposed,0,6.251805305480957,2.500361035026933,2.002323627471924,2.5752004235982895
Functional similarity,Proposed,1,17.89652442932129,4.230428397848295,3.4132142066955566,5.42534776031971
Functional similarity,Proposed,2,88.91351318359375,9.429396225824522,7.50703239440918,7.9871878027915955
Functional similarity,Proposed,3,15.02095890045166,3.875688184110231,2.9630775451660156,4.082458466291428
Functional similarity,Proposed,4,115.733642578125,10.757957174953106,7.88254976272583,96.30880951881409
Congestion delay,FedAvg,0,6.674803256988525,2.583564060941498,2.0712835788726807,2.6693057268857956
Congestion delay,FedAvg,1,18.087020874023438,4.252883830299558,3.433788299560547,5.478456616401672
Congestion delay,FedAvg,2,87.97970581054688,9.379749773344003,7.507908344268799,8.000389486551285
Congestion delay,FedAvg,3,14.969865798950195,3.869091081759409,2.9667720794677734,4.098934307694435
Congestion delay,FedAvg,4,118.11381530761719,10.868018002727874,8.054076194763184,98.71360063552856
Congestion delay,Proposed,0,6.251805305480957,2.500361035026933,2.002323627471924,2.5752004235982895
Congestion delay,Proposed,1,17.89652442932129,4.230428397848295,3.4132142066955566,5.42534776031971
Congestion delay,Proposed,2,88.91351318359375,9.429396225824522,7.50703239440918,7.9871878027915955
Congestion delay,Proposed,3,15.02095890045166,3.875688184110231,2.9630775451660156,4.082458466291428
Congestion delay,Proposed,4,115.733642578125,10.757957174953106,7.88254976272583,96.30880951881409
