graph_type,method,client_id,mse,rmse,mae,mape
Fixed,FedAvg,0,6.638260364532471,2.5764821684871935,2.0637621879577637,2.6599913835525513
Fixed,FedAvg,1,18.082881927490234,4.252397197756841,3.437189817428589,5.485328659415245
Fixed,FedAvg,2,88.39189147949219,9.401696202254792,7.542752742767334,8.044544607400894
Fixed,FedAvg,3,15.071471214294434,3.882199275448703,2.9777400493621826,4.11263182759285
Fixed,FedAvg,4,120.3146743774414,10.968804601114991,8.1261568069458,98.79974722862244
Fixed,Proposed,0,6.206177234649658,2.4912200293530193,1.9946894645690918,2.5650061666965485
Fixed,Proposed,1,17.872814178466797,4.227625122745251,3.4160683155059814,5.428241565823555
Fixed,Proposed,2,89.22534942626953,9.445917077037546,7.537904739379883,8.023563772439957
Fixed,Proposed,3,15.107603073120117,3.886850019375602,2.972804546356201,4.092297330498695
Fixed,Proposed,4,117.57355499267578,10.843134002338797,7.937016487121582,96.38070464134216
Dynamic-Morning,FedAvg,0,6.6767497062683105,2.583940731957355,2.0716171264648438,2.669762447476387
Dynamic-Morning,FedAvg,1,18.088531494140625,4.253061426095399,3.434007406234741,5.478940531611443
Dynamic-Morning,FedAvg,2,87.98194122314453,9.379868934219951,7.5084357261657715,8.001108467578888
Dynamic-Morning,FedAvg,3,14.971168518066406,3.8692594275993444,2.9668538570404053,4.099111631512642
Dynamic-Morning,FedAvg,4,118.0970458984375,10.867246472701238,8.053747177124023,98.70868921279907
Dynamic-Morning,Proposed,0,6.253146171569824,2.5006291551467252,2.0025317668914795,2.575492113828659
Dynamic-Morning,Proposed,1,17.89677619934082,4.230458154779553,3.4133057594299316,5.425607040524483
Dynamic-Morning,Proposed,2,88.91523742675781,9.429487654520674,7.5075297355651855,7.987871021032333
Dynamic-Morning,Proposed,3,15.021696090698242,3.8757832873753717,2.9630541801452637,4.082469269633293
Dynamic-Morning,Proposed,4,115.71985626220703,10.757316406158509,7.882379531860352,96.30475044250488
Dynamic-Evening,FedAvg,0,6.674856185913086,2.5835743043142934,2.0712900161743164,2.6693128049373627
Dynamic-Evening,FedAvg,1,18.086477279663086,4.25281992090696,3.4338181018829346,5.478455871343613
Dynamic-Evening,FedAvg,2,87.97978210449219,9.379753840293048,7.508316993713379,8.000751584768295
Dynamic-Evening,FedAvg,3,14.976583480834961,3.869959105834965,2.967071294784546,4.099273309111595
Dynamic-Evening,FedAvg,4,118.15829467773438,10.87006415242037,8.055211067199707,98.71309399604797
Dynamic-Evening,Proposed,0,6.251583099365234,2.500316599825957,2.00232195854187,2.575184777379036
Dynamic-Evening,Proposed,1,17.895750045776367,4.230336871429552,3.4131689071655273,5.425172671675682
Dynamic-Evening,Proposed,2,88.9157943725586,9.429517186609216,7.507292747497559,7.987324893474579
Dynamic-Evening,Proposed,3,15.028916358947754,3.876714634706526,2.963545322418213,4.082908108830452
Dynamic-Evening,Proposed,4,115.77457427978516,10.759859398699648,7.883800029754639,96.30763530731201
Dynamic-Offpeak,FedAvg,0,6.674633979797363,2.5835313003324276,2.071251630783081,2.669263258576393
Dynamic-Offpeak,FedAvg,1,18.086898803710938,4.252869478800276,3.433763027191162,5.478411167860031
Dynamic-Offpeak,FedAvg,2,87.97920227050781,9.379722931436078,7.507848262786865,8.000318706035614
Dynamic-Offpeak,FedAvg,3,14.969573020935059,3.869053246071325,2.9667582511901855,4.098914563655853
Dynamic-Offpeak,FedAvg,4,118.11381530761719,10.868018002727874,8.054060935974121,98.7141489982605
Dynamic-Offpeak,Proposed,0,6.251670837402344,2.5003341451498726,2.0022990703582764,2.575167827308178
Dynamic-Offpeak,Proposed,1,17.8964786529541,4.230422987474669,3.413200855255127,5.4253239184618
Dynamic-Offpeak,Proposed,2,88.91297912597656,9.429367907022005,7.5069732666015625,7.9871200025081635
Dynamic-Offpeak,Proposed,3,15.020671844482422,3.8756511510302913,2.963064432144165,4.082445055246353
Dynamic-Offpeak,Proposed,4,115.73329162597656,10.757940863658646,7.882517337799072,96.30926847457886
